SeqCluster,Prot_AC,score,RecName
CK_00033220,Q8TGM2,0.843418001312056,Putative uncharacterized protein YLR347W-A;
CK_00033339,P35902,0.9955999851226808,Arylalkyl acylamidase;
CK_00033363,Q8TGM0,0.9965000152587892,Uncharacterized protein YMR272W-A;
CK_00033409,P0C234,0.9957000017166138,Calcitonin 
CK_00033677,Q8TGT3,0.9962999820709229,Uncharacterized protein YJL077W-B;
CK_00033711,C0H3T2,0.9955999851226808,Uncharacterized protein YczK;
CK_00033764,Q10926,0.9959999918937684,Uncharacterized protein B0302.2;
CK_00033796,P80976,0.9954000115394592,Cytochrome c oxidase subunit 6B;
CK_00033892,O32276,0.9966999888420104,Protein usd;
CK_00033928,Q10926,0.995199978351593,Uncharacterized protein B0302.2;
CK_00033931,P22660,0.9951000213623048,NAD-reducing hydrogenase HoxS subunit delta;
CK_00034146,P49513,0.995299994945526,Photosystem II reaction center protein K 
CK_00034193,P41598,0.9955999851226808,Photosystem II reaction center protein K 
CK_00034232,P0C1V3,0.995299994945526,Putative uncharacterized protein YAL016C-B;
CK_00034350,P0DKH9,0.9950000047683716,Auxin-responsive endogenous peptide 1 
CK_00034352,P0DKH9,0.9959999918937684,Auxin-responsive endogenous peptide 1 
CK_00034448,P83540,0.8018549319000812,GMP synthase [glutamine-hydrolyzing];
CK_00034610,P39430,0.9955999851226808,Inosine/xanthosine triphosphatase 
CK_00034646,P38437,0.9015800373990146,Uncharacterized protein in miaA 5'region;
CK_00034695,P16312,0.9958000183105468,Peptidase 1;
CK_00034878,C0H3T2,0.995199978351593,Uncharacterized protein YczK;
CK_00035015,C1P616,0.8270205119225693,Small toxic protein IbsD;
CK_00035062,Q8TGT3,0.9958999752998352,Uncharacterized protein YJL077W-B;
CK_00035063,P0DPN3,0.9950000047683716,Protein YlcJ 
CK_00035097,P24262,0.8505151419695665,Sucrose porin;
CK_00035164,O83302,0.9958000183105468,Uncharacterized protein TP_0278;
CK_00035212,P38476,0.9958000183105468,Uncharacterized mitochondrial protein ymf34;
CK_00035374,Q4VZH6,0.9950000047683716,Cytochrome b559 subunit beta 
CK_00035440,P83129,0.9955000281333924,Superoxide dismutase [Cu-Zn];
CK_00035554,Q08428,0.8091099683063412,Putative uncharacterized protein YOR053W;
CK_00035573,O83253,0.9962999820709229,Uncharacterized protein TP_0224;
CK_00035583,O83302,0.995299994945526,Uncharacterized protein TP_0278;
CK_00035765,Q9ZDP8,0.9955000281333924,Uncharacterized protein RP279;
CK_00035824,O28399,0.9958000183105468,Uncharacterized protein AF_1880;
CK_00035945,P51233,0.9969000220298768,Uncharacterized protein ORF62;
CK_00035960,A5J277,0.9955999851226808,Putative uncharacterized protein ycf15;
CK_00035984,Q9UI54,0.995199978351593,Putative uncharacterized protein PRO0628;
CK_00036002,P0DSI0,0.9957000017166138,Protein YthB 
CK_00036082,Q55BF5,0.9950000047683716,Splicing factor 3B subunit 5;
CK_00036084,P80740,0.9951000213623048,Superoxide dismutase [Cu-Zn] 1;
CK_00036117,Q9SHJ6,0.8524594432885841,Peroxisomal and mitochondrial division factor 2 
CK_00036128,Q8TGT3,0.996399998664856,Uncharacterized protein YJL077W-B;
CK_00036157,P55597,0.9962000250816344,Uncharacterized protein y4oL;
CK_00036177,Q8TGQ5,0.9957000017166138,Putative uncharacterized protein YBR131C-A;
CK_00036231,P0C0N0,0.9954000115394592,Ornithine carbamoyltransferase;
CK_00036278,Q332W2,0.9958999752998352,Cytochrome b559 subunit beta 
CK_00036325,P44059,0.9961000084877014,Uncharacterized protein HI_0843;
CK_00036340,Q10926,0.9950000047683716,Uncharacterized protein B0302.2;
CK_00036382,A0T0C4,0.9961000084877014,Photosystem II reaction center protein X 
CK_00036438,Q54E17,0.996399998664856,Putative uncharacterized protein DDB_G0291876;
CK_00036726,O28399,0.9955000281333924,Uncharacterized protein AF_1880;
CK_00036752,P49828,0.9950000047683716,Uncharacterized 5.5 kDa protein in ccsA-rps6 intergenic region;
CK_00036767,P39430,0.9959999918937684,Inosine/xanthosine triphosphatase 
CK_00036783,P43964,0.9955000281333924,Uncharacterized protein HI_0210;
CK_00036889,P51233,0.995199978351593,Uncharacterized protein ORF62;
CK_00037095,P18268,0.9951000213623048,Indole-3-glycerol phosphate synthase;
CK_00037178,P15871,0.995199978351593,Histone H1.1;
CK_00037205,O83253,0.9962999820709229,Uncharacterized protein TP_0224;
CK_00037241,Q54FI7,0.995199978351593,Putative uncharacterized protein DDB_G0290819;
CK_00037250,Q8TGS0,0.9968000054359436,Uncharacterized protein YOR161C-C;
CK_00037489,Q8TGM2,0.9330437929746438,Putative uncharacterized protein YLR347W-A;
CK_00037499,P20416,0.9962000250816344,Snake venom metalloproteinase bothrolysin;
CK_00037519,P49830,0.995299994945526,Uncharacterized 3.5 kDa protein in ycf33-trnY intergenic region;
CK_00037531,B7KAA7,0.9958000183105468,Cytochrome b6-f complex subunit 7 
CK_00037543,D6C4I4,0.9958000183105468,Conotoxin Cl14.10 
CK_00037738,P0C5P3,0.8568810719896796,Uncharacterized protein YKL145W-A;
CK_00037783,Q85X47,0.996399998664856,Photosystem II reaction center protein M 
CK_00037889,P0C234,0.9958999752998352,Calcitonin 
CK_00038260,Q54V36,0.9962999820709229,Putative uncharacterized protein DDB_G0280641;
CK_00038273,P49828,0.9955000281333924,Uncharacterized 5.5 kDa protein in ccsA-rps6 intergenic region;
CK_00038333,P17877,0.8621976752603722,Endoglucanase 1;
CK_00038353,P49835,0.9955999851226808,Uncharacterized 5.4 kDa protein in trnK-psbC intergenic region;
CK_00038619,O83583,0.995199978351593,Uncharacterized protein TP_0573;
CK_00038622,Q8TGM0,0.9958000183105468,Uncharacterized protein YMR272W-A;
CK_00038700,Q8TGS2,0.9958999752998352,Uncharacterized protein YOL019W-A;
CK_00038731,P35902,0.995299994945526,Arylalkyl acylamidase;
CK_00038741,P35902,0.9958000183105468,Arylalkyl acylamidase;
CK_00038810,P44086,0.995299994945526,Uncharacterized protein HI_0967;
CK_00038864,Q8TGU3,0.9965999722480774,Putative uncharacterized protein YFL031C-A;
CK_00038922,Q54E17,0.9950000047683716,Putative uncharacterized protein DDB_G0291876;
CK_00038966,C0H3T2,0.9958999752998352,Uncharacterized protein YczK;
CK_00039056,O34489,0.9950000047683716,Uncharacterized protein YflD;
CK_00039180,Q5H7N6,0.9950000047683716,Cecropin-P2;
CK_00039219,Q3E7Z9,0.9965999722480774,Uncharacterized protein YOL038C-A;
CK_00039225,Q9UHU1,0.9961000084877014,Putative uncharacterized protein PRO1716;
CK_00039456,P46986,0.8118377876362324,Putative uncharacterized protein YJL182C;
CK_00039463,O32276,0.9955000281333924,Protein usd;
CK_00039479,P81086,0.9957000017166138,Water stress-responsive protein 7;
CK_00039500,Q3E787,0.9959999918937684,Putative uncharacterized protein YCR095W-A;
CK_00039529,Q9VXN2,0.9955999851226808,Protein stunted 
CK_00039607,P44179,0.9962999820709229,Uncharacterized protein HI_1404;
CK_00039640,P53182,0.9249759182906914,Putative uncharacterized protein YGL041C;
CK_00039689,P49835,0.9950000047683716,Uncharacterized 5.4 kDa protein in trnK-psbC intergenic region;
CK_00039700,P34830,0.9951000213623048,Large ribosomal subunit protein uL16m 
CK_00039770,Q96IR3,0.9950000047683716,Putative uncharacterized protein MGC15705;
CK_00039777,Q3E778,0.9954000115394592,Uncharacterized protein YBR196C-B;
CK_00039918,O28399,0.9958000183105468,Uncharacterized protein AF_1880;
CK_00039948,Q10926,0.995299994945526,Uncharacterized protein B0302.2;
CK_00039953,P28779,0.9969000220298768,Tryptophanase operon leader peptide;
CK_00039970,Q8TGM2,0.9204718750835994,Putative uncharacterized protein YLR347W-A;
CK_00039973,C0HJH4,0.9955999851226808,Sarcolamban A 
CK_00040017,P44179,0.9954000115394592,Uncharacterized protein HI_1404;
CK_00040020,P0DQF8,0.9957000017166138,U-scoloptoxin(23)-Er2a 
CK_00040064,P35808,0.9955999851226808,Adipokinetic prohormone type 2;
CK_00040208,P11924,0.9955999851226808,Califin-B;
CK_00040214,O83583,0.9962999820709229,Uncharacterized protein TP_0573;
CK_00040310,Q8TGU5,0.9958000183105468,Uncharacterized protein YBR296C-A;
CK_00040337,Q8TGU3,0.995299994945526,Putative uncharacterized protein YFL031C-A;
CK_00040351,O83302,0.9954000115394592,Uncharacterized protein TP_0278;
CK_00040709,P17877,0.8024624275975611,Endoglucanase 1;
CK_00040740,P38437,0.8288332947642516,Uncharacterized protein in miaA 5'region;
CK_00040825,Q5WIG0,0.9954000115394592,"Small', ' acid-soluble spore protein K "
CK_00040880,Q8TGT3,0.9962000250816344,Uncharacterized protein YJL077W-B;
CK_00040908,Q3E737,0.9958000183105468,Uncharacterized protein YJL047C-A;
CK_00040977,Q5SD42,0.9965000152587892,Cytochrome b559 subunit beta 
CK_00041069,A5A627,0.8377242846459865,Small toxic protein TisB;
CK_00041142,P20412,0.9954000115394592,Giant hemoglobin AI chain;
CK_00041187,Q8TGM2,0.8095291221779632,Putative uncharacterized protein YLR347W-A;
CK_00041190,P55739,0.9955999851226808,Serine/threonine-protein phosphatase 5;
CK_00041336,P44179,0.9968000054359436,Uncharacterized protein HI_1404;
CK_00041679,P28779,0.9955000281333924,Tryptophanase operon leader peptide;
CK_00041899,Q10926,0.9959999918937684,Uncharacterized protein B0302.2;
CK_00041902,P0C5M8,0.9955000281333924,Uncharacterized protein YER090C-A;
CK_00041906,Q8TGN0,0.995199978351593,Putative uncharacterized protein YKL156C-A;
CK_00041963,O35982,0.9968000054359436,"Submaxillary gland androgen-regulated protein 2', ' isoform beta;"
CK_00041983,Q9UHU1,0.9965000152587892,Putative uncharacterized protein PRO1716;
CK_00042091,P44179,0.9950000047683716,Uncharacterized protein HI_1404;
CK_00042149,P20412,0.9955000281333924,Giant hemoglobin AI chain;
CK_00042457,P0CJ06,0.995199978351593,Venom protein 37.1;
CK_00042553,P20416,0.9957000017166138,Snake venom metalloproteinase bothrolysin;
CK_00042840,P20416,0.9961000084877014,Snake venom metalloproteinase bothrolysin;
CK_00042858,P81882,0.9955000281333924,Thrombin-like enzyme TL-BJ 1;
CK_00042893,Q8TGN0,0.9951000213623048,Putative uncharacterized protein YKL156C-A;
CK_00042991,Q3E802,0.9950000047683716,Uncharacterized protein YGL006W-A;
CK_00043177,Q24733,0.9962000250816344,Actin;
CK_00043232,P56340,0.995299994945526,Photosystem I reaction center subunit IX 
CK_00043239,P44179,0.9954000115394592,Uncharacterized protein HI_1404;
CK_00043738,Q3E740,0.9951000213623048,Uncharacterized protein YGL258W-A;
CK_00043770,Q96IR3,0.9951000213623048,Putative uncharacterized protein MGC15705;
CK_00043967,P72575,0.996399998664856,Photosystem II reaction center protein X 
CK_00044024,Q8TGN0,0.9954000115394592,Putative uncharacterized protein YKL156C-A;
CK_00044067,Q9MUM6,0.995199978351593,Uncharacterized 7.4 kDa protein in ndhF-psbD intergenic region;
CK_00044176,Q3AHN5,0.9966999888420104,DNA-directed RNA polymerase subunit omega 
CK_00044305,P0C1Z1,0.9955999851226808,Uncharacterized protein YDR524W-C;
CK_00044359,O28399,0.9955999851226808,Uncharacterized protein AF_1880;
CK_00044435,P44059,0.995299994945526,Uncharacterized protein HI_0843;
CK_00044492,Q8TGM2,0.9951000213623048,Putative uncharacterized protein YLR347W-A;
CK_00044523,P48266,0.9961000084877014,Photosystem II reaction center protein X 
CK_00044621,P0DSI0,0.9957000017166138,Protein YthB 
CK_00044632,P62551,0.9954000115394592,Positive regulator of RepFIC repA1 expression;
CK_00044721,Q29119,0.9957000017166138,Islet amyloid polypeptide;
CK_00044735,P0DSI0,0.9950000047683716,Protein YthB 
CK_00044814,P28779,0.996399998664856,Tryptophanase operon leader peptide;
CK_00044875,P29852,0.8096289597108743,Protein MalX;
CK_00045131,O83196,0.9950000047683716,Uncharacterized protein TP_0161;
CK_00045279,P61052,0.8348143130216314,Photosystem II reaction center protein Psb30 
CK_00045408,Q86Y28,0.995199978351593,B melanoma antigen 4;
CK_00045426,Q99380,0.9958999752998352,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST4;
CK_00045536,P18268,0.9951000213623048,Indole-3-glycerol phosphate synthase;
CK_00045541,P01363,0.9957000017166138,Egg-releasing peptide;
CK_00045790,P33391,0.9957000017166138,Protein DVU_0533;
CK_00045999,P16312,0.9955999851226808,Peptidase 1;
CK_00046192,O83199,0.995299994945526,Uncharacterized protein TP_0169;
CK_00046218,Q3E804,0.9958999752998352,Uncharacterized protein YOR381W-A;
CK_00046482,Q4VZH6,0.9951000213623048,Cytochrome b559 subunit beta 
CK_00046705,P90471,0.9955999851226808,Putative uncharacterized protein YBR109W-A;
CK_00046765,O83302,0.9958999752998352,Uncharacterized protein TP_0278;
CK_00046777,O34605,0.9950000047683716,SPbeta prophage-derived uncharacterized protein YopM;
CK_00046890,F4HTB2,0.9950000047683716,Small polypeptide DEVIL 22 
CK_00046948,P0DQF8,0.9958000183105468,U-scoloptoxin(23)-Er2a 
CK_00046963,P01280,0.9955000281333924,Secretin 
CK_00047009,O28399,0.9950000047683716,Uncharacterized protein AF_1880;
CK_00047031,P32185,0.8093961051072114,3-hydroxyisobutyrate dehydrogenase;
CK_00047096,O28399,0.9950000047683716,Uncharacterized protein AF_1880;
CK_00047267,A5J277,0.995199978351593,Putative uncharacterized protein ycf15;
CK_00047274,Q8K459,0.8593199794816968,Peroxisomal testis-specific protein 1;
CK_00047428,P01363,0.9950000047683716,Egg-releasing peptide;
CK_00047491,P38031,0.995199978351593,Alpha-1-antiproteinase 4;
CK_00047527,B7KIS7,0.9957000017166138,Photosystem II reaction center protein Y 
CK_00047668,Q8WZA8,0.9954000115394592,Putative gastric cancer-related gene 224 protein;
CK_00047729,O83740,0.995199978351593,Uncharacterized protein TP_0759;
CK_00047839,Q8TGT6,0.9957000017166138,Uncharacterized protein YHR022C-A;
CK_00047855,C0HK48,0.9955999851226808,Trypsin inhibitor 
CK_00048027,Q8TGM0,0.996399998664856,Uncharacterized protein YMR272W-A;
CK_00048150,P54446,0.9954000115394592,Uncharacterized protein YrkS;
CK_00048162,P80740,0.9950000047683716,Superoxide dismutase [Cu-Zn] 1;
CK_00048174,O83788,0.995199978351593,Uncharacterized protein TP_0811;
CK_00048186,P35006,0.9958000183105468,Uncharacterized 7.3 kDa protein in petA 5'region;
CK_00048410,Q28934,0.9951000213623048,Islet amyloid polypeptide;
CK_00048420,P35902,0.9955999851226808,Arylalkyl acylamidase;
CK_00048481,Q9Z5E9,0.8607418102101612,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE;
CK_00048520,P17227,0.995299994945526,Photosystem I reaction center subunit VIII;
CK_00048622,P39430,0.995199978351593,Inosine/xanthosine triphosphatase 
CK_00048840,O28399,0.9962999820709229,Uncharacterized protein AF_1880;
CK_00048884,P31874,0.9958999752998352,Dihydroxy-acid dehydratase;
CK_00049016,P44179,0.9951000213623048,Uncharacterized protein HI_1404;
CK_00049042,O83253,0.9957000017166138,Uncharacterized protein TP_0224;
CK_00049047,O28399,0.995199978351593,Uncharacterized protein AF_1880;
CK_00049057,Q9ZDJ7,0.995199978351593,Uncharacterized protein RP331;
CK_00049082,O28419,0.9955000281333924,Uncharacterized protein AF_1860;
CK_00049084,P0DMB6,0.9961000084877014,Phospholipase A1 verutoxin-1 
CK_00049219,P44179,0.9958999752998352,Uncharacterized protein HI_1404;
CK_00049304,Q47272,0.9950000047683716,Uncharacterized protein YlcG;
CK_00049406,Q96IR3,0.9951000213623048,Putative uncharacterized protein MGC15705;
CK_00049485,Q8K459,0.8206083923324492,Peroxisomal testis-specific protein 1;
CK_00049803,O32276,0.995299994945526,Protein usd;
CK_00049841,P44179,0.9950000047683716,Uncharacterized protein HI_1404;
CK_00049848,P30880,0.9955000281333924,Calcitonin gene-related peptide 1;
CK_00049932,Q8TGU3,0.9954000115394592,Putative uncharacterized protein YFL031C-A;
CK_00049961,Q5SCX1,0.9955000281333924,Photosystem II reaction center protein K 
CK_00050046,Q96IR3,0.9950000047683716,Putative uncharacterized protein MGC15705;
CK_00050053,P30880,0.9951000213623048,Calcitonin gene-related peptide 1;
CK_00050141,Q8TGS2,0.995199978351593,Uncharacterized protein YOL019W-A;
CK_00050147,Q10926,0.9961000084877014,Uncharacterized protein B0302.2;
CK_00050189,P01363,0.995199978351593,Egg-releasing peptide;
CK_00050198,P34830,0.9958000183105468,Large ribosomal subunit protein uL16m 
CK_00050245,P0CJ06,0.9958000183105468,Venom protein 37.1;
