SeqCluster,ClusterNumber,InterPro_id,Most represented functional category_x
CK_00000040,CK_Syn_BMK-MC-1_00016,IPR028427  IPR002579  IPR011057,IPR002579
CK_00000042,CK_Pro_MIT0604_01390,IPR055266  IPR036854  IPR000484  IPR055265  IPR005868,IPR000484|IPR005868
CK_00000043,CK_Syn_RS9916_36757,IPR015876  IPR005804,IPR005804
CK_00000044,CK_Syn_PROS-7-1_00595,IPR001297  IPR038255  IPR016470,IPR001297
CK_00000045,CK_Pro_MIT0701_00932,IPR011547  IPR001902  IPR002645  IPR036513,IPR002645|IPR011547
CK_00000047,CK_Syn_A15-44_00650,IPR005746  IPR036249  IPR017937  IPR013766,IPR005746|IPR013766|IPR017937
CK_00000049,CK_Syn_KORDI-100_07720,IPR027461  IPR029062  IPR027478  IPR040449  IPR040921  IPR003507,IPR040449|IPR040921
CK_00000050,CK_Pro_SS2_01717, ,IPR022796
CK_00000051,CK_Syn_CC9616_00809,IPR003593  IPR003439  IPR017871  IPR050763  IPR005978  IPR027417,IPR003439|IPR005894|IPR017871|IPR025302
CK_00000053,CK_Syn_BIOS-U3-1_03251,IPR020103  IPR006224  IPR006225  IPR006145  IPR050188  IPR002942  IPR036986,IPR002942|IPR006145|IPR006224|IPR006225
CK_00000054,CK_Pro_GP2_00600,IPR012338  IPR001264  IPR050396  IPR023346  IPR036950  IPR001460,IPR001264|IPR001460
CK_00000055,CK_Syn_KORDI-100_13010,IPR021046  IPR034415  IPR005580  IPR011545  IPR050547  IPR028618  IPR014001  IPR001650  IPR012677  IPR027417  IPR000629  IPR014014,IPR000629|IPR001650|IPR005580|IPR011545|IPR014001|IPR014014
CK_00000058,CK_Cya_PCC6307_02991,IPR010899,IPR025067
CK_00000059,CK_Syn_WH8101_02274,IPR011284  IPR036291  IPR020904  IPR050259  IPR002347,IPR002347|IPR011284|IPR020904
CK_00000060,CK_Pro_MIT9321_01250,IPR011629  IPR003495  IPR027417  IPR051316,IPR003495|IPR011629
CK_00000061,CK_Pro_GP2_01444,IPR029028  IPR023148  IPR002649  IPR029026  IPR016009,IPR002649|IPR003526|IPR016009|IPR020555
CK_00000063,CK_Syn_RS9909_01798,IPR009056  IPR036909  IPR023655  IPR008168,IPR009056
CK_00000064,CK_Cya_NS01_02340,IPR023052  IPR007561  IPR038594,IPR007561
CK_00000065,CK_Syn_NOUM97013_02623, ,IPR001757|IPR006121|IPR017969|IPR018303|IPR027256
CK_00000066,CK_Cya_CB0101_14099,IPR017568  IPR000794  IPR018201  IPR014031  IPR014030  IPR020841  IPR016039,IPR014030|IPR014031|IPR017568|IPR018201|IPR020841
CK_00000067,CK_Cya_WH5701_06916, ,IPR022796
CK_00000068,CK_Pro_MIT0601_01287,IPR026045,IPR006059
CK_00000069,CK_Syn_ROS8604_00716,IPR009050  IPR012128  IPR038719,IPR012128
CK_00000070,CK_Syn_WH8102_01381, ,IPR006608
CK_00000072,CK_Pro_EQPAC1_00505,IPR020127  IPR037234,IPR018714
CK_00000073,CK_Syn_MITS9220_01569, ,IPR003838|IPR005891
CK_00000074,CK_Syn_BMK-MC-1_02467,IPR039672  IPR036259  IPR018043,IPR006311
CK_00000075,CK_Syn_KORDI-100_09950,IPR029062  IPR017926  IPR010139,IPR010139|IPR017926
CK_00000076,CK_Syn_RS9916_37132,IPR039570  IPR000709  IPR028082,IPR017777
CK_00000078,CK_Syn_NOUM97013_00495, ,IPR006311
CK_00000080,CK_Cya_NS01_01539,IPR037294  IPR001626,IPR001626
CK_00000081,CK_Syn_KORDI-49_14900,IPR001646  IPR044213,IPR001646
CK_00000083,CK_Pro_SS35_01039,IPR016161  IPR016163  IPR016162  IPR015590  IPR020593  IPR012134  IPR000965,IPR000965|IPR015590|IPR020593
CK_00000086,CK_Syn_RCC307_00743,IPR036188  IPR054896  IPR010108,IPR010108
CK_00000088,CK_Syn_RS9916_35932,IPR037538  IPR050486  IPR005835  IPR029044,IPR005835
CK_00000090,CK_Pro_PAC1_02026,IPR001509  IPR036291  IPR005886,IPR005886|IPR016040
CK_00000092,CK_Pro_MIT9313_00274,IPR013785  IPR006062  IPR004651  IPR050064  IPR011060,IPR004651|IPR006062
CK_00000093,CK_Syn_MITS9220_03093,IPR023026  IPR001926  IPR036052,IPR000634|IPR001926|IPR004450
CK_00000097,CK_Pro_MIT9322_00100,IPR031409,IPR021734
CK_00000098,CK_Syn_RS9902_02432,IPR004639  IPR005814  IPR049704  IPR015424  IPR015421  IPR015422,IPR004639|IPR005814|IPR049704
CK_00000099,CK_Syn_WH8109_00745,IPR050979  IPR005490  IPR038063,IPR005490
CK_00000100,CK_Syn_PROS-U-1_00887,IPR012846  IPR039368  IPR029035  IPR029061  IPR012000  IPR012001  IPR000399  IPR045229  IPR011766,IPR000399|IPR011766|IPR012000|IPR012001|IPR012846
CK_00000102,CK_Pro_MIT9202_00439,IPR050151  IPR036188  IPR023753  IPR016156  IPR006258  IPR001100  IPR004099  IPR012999,IPR004099|IPR006258|IPR012999|IPR023753
CK_00000103,CK_Syn_TAK9802_01467,IPR008147  IPR036651  IPR014746  IPR008146  IPR027303  IPR004809  IPR027302,IPR004809|IPR008146|IPR008147|IPR027302|IPR027303
CK_00000104,CK_Syn_A15-44_50015, , 
CK_00000105,CK_Syn_MINOS11_01969, ,IPR000014|IPR003594|IPR003660|IPR003661|IPR005467|IPR013656
CK_00000106,CK_Syn_A15-62_02290,IPR045865  IPR002912  IPR029009  IPR050857  IPR006139  IPR029753  IPR029752  IPR006140  IPR036291  IPR006236  IPR045626,IPR002912|IPR006139|IPR006140|IPR006236|IPR029752|IPR029753|IPR045626
CK_00000111,CK_Cya_CB0205_01021,IPR003593  IPR004504  IPR027417  IPR020588  IPR020568  IPR014721  IPR041166,IPR004504|IPR020588|IPR041166
CK_00000113,CK_Syn_KORDI-49_24580,IPR002128  IPR018393  IPR001750  IPR003945  IPR001516,IPR001516|IPR001750|IPR002128|IPR018393
CK_00000114,CK_Pro_MIT9116_01736,IPR003593  IPR041702  IPR041628  IPR011776  IPR000523  IPR027417  IPR002035  IPR036465,IPR000523|IPR002035|IPR011776|IPR041628
CK_00000115,CK_Pro_NATL1A_08571,IPR005888  IPR016040  IPR036291,IPR005888|IPR016040
CK_00000116,CK_Pro_MIT0701_01743,IPR013986  IPR005753  IPR014017  IPR000212  IPR027417  IPR014016,IPR014016|IPR014017
CK_00000118,CK_Syn_PROS-U-1_00219,IPR011833  IPR000811  IPR035090,IPR000811|IPR011833|IPR035090
CK_00000119,CK_Syn_BL107_05954,IPR037509  IPR038521  IPR002817,IPR002817
CK_00000120,CK_Pro_MIT9202_00814,IPR009050  IPR012128  IPR038719,IPR000185|IPR011115|IPR011116|IPR011130|IPR014001|IPR014018|IPR020937|IPR044722
CK_00000123,CK_Syn_PROS-U-1_00057,IPR045869  IPR001509  IPR050177  IPR036291,IPR001509
CK_00000124,CK_Syn_RS9907_02993,IPR011701  IPR020846  IPR036259  IPR005829  IPR001958,IPR011701|IPR020846
CK_00000125,CK_Syn_BIOS-E4-1_04280,IPR003593  IPR036185  IPR007692  IPR007694  IPR007693  IPR016136  IPR027417,IPR007692|IPR007693|IPR007694
CK_00000126,CK_Syn_A15-60_01035,IPR027417  IPR006321  IPR001482  IPR050921,IPR001482|IPR006321
CK_00000133,CK_Syn_BMK-MC-1_00460,IPR025211, 
CK_00000134,CK_Pro_MIT9123_01135,IPR013785  IPR050711  IPR017932  IPR002489  IPR036485  IPR006982  IPR002932  IPR029055,IPR002489|IPR002932|IPR006982|IPR017932
CK_00000135,CK_Syn_MITS9220_00439,IPR030878  IPR021131  IPR036227  IPR005749  IPR001196,IPR001196|IPR005749|IPR021131
CK_00000136,CK_Syn_A18-40_02265,IPR011989  IPR016024  IPR004155, 
CK_00000137,CK_Syn_NOUM97013_00581,IPR019717,IPR003375
CK_00000138,CK_Pro_MIT9314_00832,IPR016161  IPR016163  IPR016160  IPR029510  IPR016162  IPR015590  IPR051020,IPR015590|IPR029510
CK_00000140,CK_Syn_RS9909_02390,IPR007836,IPR004045|IPR010987
CK_00000141,CK_Pro_MIT9314_00160, , 
CK_00000144,CK_Syn_PROS-7-1_02075,IPR004808  IPR020847  IPR036691  IPR005135,IPR004808|IPR005135|IPR020847
CK_00000145,CK_Syn_MEDNS5_00672,IPR003953  IPR036188,IPR006076|IPR011777
CK_00000149,CK_Pro_MIT0702_00301, ,IPR025344
CK_00000151,CK_Pro_LG_00170,IPR003362,IPR003362
CK_00000152,CK_Pro_MIT9311_00369,IPR001986  IPR036968  IPR050068  IPR013792  IPR005750,IPR001986|IPR005750
CK_00000153,CK_Syn_PROS-9-1_00752,IPR001017  IPR050642  IPR029061,IPR001017|IPR017597
CK_00000156,CK_Syn_A18-46.1_01020,IPR007836,IPR027785
CK_00000157,CK_Syn_A15-60_02268,IPR001670  IPR016205,IPR001670|IPR018211
CK_00000158,CK_Cya_CB0205_50027,IPR036565  IPR004101  IPR036615  IPR013221  IPR000713  IPR051046  IPR035911  IPR005863,IPR000713|IPR004101|IPR005863|IPR013221
CK_00000160,CK_Syn_WH8102_01021,IPR002569  IPR036509  IPR050162,IPR002569
CK_00000161,CK_Pro_MIT0701_02689,IPR000120  IPR020556  IPR023631  IPR036928  IPR004412,IPR004412|IPR020556|IPR023631
CK_00000162,CK_Syn_NOUM97013_01815,IPR008321, 
CK_00000164,CK_Cya_NS01_01223,IPR006195  IPR045864  IPR041715  IPR004516  IPR004517,IPR006195|IPR041715
CK_00000165,CK_Pro_NATL1A_09831,IPR000515  IPR035906  IPR011864  IPR051124,IPR000515|IPR005672
CK_00000166,CK_Syn_WH8101_01478,IPR001705  IPR018264  IPR038584  IPR011332,IPR001705|IPR018264
CK_00000167,CK_Cya_CB0205_09892,IPR000866  IPR050217  IPR024706  IPR019479  IPR036249  IPR013766,IPR000866|IPR013766|IPR019479
CK_00000168,CK_Syn_RS9909_01112,IPR011129  IPR040476  IPR012340  IPR013223  IPR001900  IPR022966  IPR050180  IPR003029,IPR001900|IPR003029|IPR013223
CK_00000169,CK_Syn_A18-46.1_01364,IPR008434  IPR009078  IPR003251,IPR003251|IPR008434
CK_00000171,CK_Syn_PROS-7-1_01680,IPR051532  IPR013830  IPR036514,IPR013830
CK_00000173,CK_Pro_LG_00503,IPR000932  IPR036001,IPR000932
CK_00000174,CK_Pro_MIT9321_01145,IPR029058  IPR010662  IPR052581,IPR000073
CK_00000177,CK_Syn_CC9311_01207, ,IPR045615
CK_00000180,CK_Pro_MIT9314_01552,IPR001080  IPR017896  IPR052395,IPR017896
CK_00000181,CK_Pro_MIT9303_04361,IPR042107  IPR019462  IPR015712  IPR007120  IPR037033  IPR010243  IPR007121  IPR007644  IPR007642  IPR037034  IPR007645  IPR007641  IPR014724,IPR007120|IPR007121|IPR007641|IPR007642|IPR007644|IPR007645|IPR010243|IPR019462
CK_00000186,CK_Pro_MIT9312_01556,IPR002187  IPR011322  IPR015867  IPR017918,IPR002187|IPR017918
CK_00000187,CK_Syn_A18-25c_00618,IPR023635  IPR036821,IPR023635
CK_00000189,CK_Syn_KORDI-52_24070,IPR004680  IPR051679  IPR031312  IPR006037  IPR036721,IPR004680|IPR006037|IPR031312
CK_00000194,CK_Pro_MIT9515_10391,IPR003824,IPR003824
CK_00000195,CK_Pro_MIT9313_00179, ,IPR021468
CK_00000196,CK_Pro_MIT9201_01900,IPR003953  IPR036188  IPR037099  IPR015939  IPR005288  IPR027477,IPR003953|IPR005288|IPR015939
CK_00000197,CK_Syn_PROS-7-1_02504,IPR036249  IPR012932  IPR044698  IPR038354,IPR012932
CK_00000198,CK_Syn_RS9917_07410,IPR006638  IPR005839  IPR020612  IPR013848  IPR038135  IPR012340  IPR005840  IPR007197  IPR023404  IPR002792,IPR002792|IPR005839|IPR005840|IPR007197|IPR013848|IPR020612
CK_00000199,CK_Pro_MIT9211_01171,IPR005499,IPR025595
CK_00000200,CK_Pro_MIT9401_01966,IPR024072  IPR004794  IPR011549  IPR002734  IPR050765,IPR002734
CK_00000201,CK_Syn_WH8103_02531,IPR007115  IPR038418,IPR007115
CK_00000202,CK_Syn_MEDNS5_02449,IPR027417  IPR031322  IPR000623  IPR023000,IPR023000|IPR031322
CK_00000203,CK_Pro_MIT0604_00136, ,IPR004045|IPR004046
CK_00000204,CK_Pro_MIT0801_00200,IPR015946  IPR000238  IPR023799  IPR020053,IPR000238|IPR020053
CK_00000205,CK_Syn_PROS-U-1_02815,IPR022956  IPR019800  IPR001764  IPR036962  IPR017853  IPR050226,IPR001764|IPR041518
CK_00000206,CK_Syn_SYN20_03069,IPR036108  IPR003754  IPR039793,IPR003754
CK_00000207,CK_Syn_RS9902_02664,IPR005031  IPR023393,IPR005031
CK_00000208,CK_Syn_BOUM118_02453,IPR002937  IPR036188  IPR014103  IPR050464,IPR002937|IPR014103
CK_00000209,CK_Cya_PCC7001_01116,IPR000361  IPR016092  IPR017870  IPR035903  IPR031108,IPR000361|IPR016092|IPR017870
CK_00000210,CK_Pro_MIT9312_00120,IPR011990  IPR019734  IPR050498,IPR019734
CK_00000211,CK_Pro_HNLC1_01491,IPR050152,IPR019994
CK_00000212,CK_Syn_NOUM97013_02602,IPR013549  IPR001509  IPR036291  IPR010099,IPR001509|IPR010099|IPR013549
CK_00000213,CK_Pro_LG_01070,IPR020905,IPR020905
CK_00000214,CK_Pro_HNLC1_01496, ,IPR001623
CK_00000216,CK_Pro_MIT0702_00831,IPR003593  IPR003439  IPR017871  IPR027417  IPR005670,IPR003439|IPR017871
CK_00000217,CK_Syn_TAK9802_02403,IPR004622  IPR015199  IPR050238  IPR027417,IPR004622
CK_00000218,CK_Pro_MIT9303_26491,IPR027417  IPR039430  IPR018095  IPR018094,IPR018094|IPR018095|IPR039430
CK_00000219,CK_Syn_WH8109_02491,IPR022818  IPR011990  IPR019734  IPR051685,IPR019734
CK_00000220,CK_Cya_PCC6307_02914,IPR003664  IPR012281,IPR003664|IPR012281
CK_00000221,CK_Cya_PCC6307_02913,IPR013747  IPR013751  IPR004655  IPR016039,IPR004655|IPR013747|IPR013751
CK_00000222,CK_Pro_MIT9312_00139,IPR001227  IPR014043  IPR016035  IPR050858  IPR016036,IPR004410|IPR014043
CK_00000223,CK_Pro_HNLC2_01172,IPR004552  IPR002123,IPR002123
CK_00000224,CK_Syn_KORDI-100_27390, ,IPR000905|IPR022496
CK_00000225,CK_Syn_WH8101_02668,IPR043519  IPR002646  IPR052390,IPR002646|IPR032828
CK_00000226,CK_Syn_PROS-U-1_02859,IPR012677  IPR035979  IPR000504  IPR052462,IPR000504
CK_00000227,CK_Syn_WH8016_01850,IPR008949  IPR054866  IPR002060  IPR019845  IPR044843  IPR033904,IPR002060|IPR019845
CK_00000228,CK_Syn_SYN20_03118,IPR002937  IPR036188  IPR014102  IPR050464,IPR002937|IPR014102
CK_00000229,CK_Pro_EQPAC1_00274,IPR018922,IPR018922
CK_00000230,CK_Syn_RS9902_02710,IPR005119  IPR000847  IPR036388  IPR036390,IPR000847|IPR005119
CK_00000231,CK_Pro_MIT9215_01651, ,IPR009915
CK_00000232,CK_Pro_MIT9202_00012, ,IPR003768
CK_00000233,CK_Syn_A15-62_02568,IPR029041  IPR003171  IPR004620,IPR003171
CK_00000234,CK_Syn_BIOS-E4-1_04131,IPR016032  IPR000792  IPR036388,IPR000792
CK_00000235,CK_Pro_MIT9201_01841,IPR033469  IPR023577  IPR012042,IPR023577
CK_00000236,CK_Syn_BIOS-E4-1_04134,IPR017438  IPR017437  IPR016064  IPR002504,IPR002504
CK_00000237,CK_Cya_CB0205_01161,IPR001133  IPR039428,IPR039428
CK_00000238,CK_Pro_HNLC2_01195,IPR001457  IPR042106,IPR001457
CK_00000239,CK_Syn_WH7805_10998,IPR017896  IPR017900  IPR010226  IPR004497,IPR004497|IPR010226|IPR017896|IPR017900
CK_00000240,CK_Pro_GP2_00330,IPR001694  IPR018086,IPR001694|IPR018086
CK_00000241,CK_Pro_GP2_00331,IPR011278  IPR016142  IPR016143  IPR002020  IPR019810  IPR024176  IPR036969,IPR002020|IPR011278
CK_00000242,CK_Pro_MIT9202_00871, ,IPR004268
CK_00000243,CK_Pro_MIT9322_00649,IPR005224  IPR040452  IPR041465,IPR005224|IPR040452|IPR041465
CK_00000244,CK_Pro_MIT9202_00737,IPR029020  IPR001905  IPR018047  IPR024041,IPR001905|IPR018047|IPR024041
CK_00000245,CK_Pro_MIT9321_00778,IPR003451,IPR003451
CK_00000246,CK_Syn_A15-62_00266,IPR024051  IPR016193  IPR011607  IPR036914  IPR002695,IPR002695|IPR011607
CK_00000247,CK_Pro_MIT9123_00302,IPR029058  IPR050565  IPR003140,IPR003140
CK_00000250,CK_Syn_WH8103_00267,IPR003805,IPR003805
CK_00000251,CK_Syn_NOUM97013_00313,IPR050076  IPR004803  IPR036511  IPR002616,IPR002616|IPR004803
CK_00000252,CK_Syn_RS9916_39046,IPR003687  IPR037270,IPR003687
CK_00000253,CK_Syn_WH7805_07766,IPR050424  IPR004104  IPR000683  IPR055170  IPR023794  IPR036291,IPR000683
CK_00000255,CK_Syn_A15-62_00250,IPR023031  IPR004467  IPR000836  IPR029057,IPR004467
CK_00000258,CK_Pro_HNLC2_00319,IPR005844  IPR016055  IPR005845  IPR005846  IPR005843  IPR036900  IPR016066  IPR005841  IPR006352  IPR050060,IPR005843|IPR005844|IPR005845|IPR005846|IPR016066
CK_00000259,CK_Pro_HNLC2_00321,IPR004294,IPR004294
CK_00000260,CK_Pro_MIT9515_03141,IPR038494  IPR000807  IPR020565  IPR020568,IPR000807|IPR020565
CK_00000261,CK_Pro_MIT9107_01677,IPR014358  IPR036291  IPR002347, 
CK_00000262,CK_Pro_NATL1A_03661,IPR015797  IPR020084  IPR000086,IPR000086
CK_00000263,CK_Syn_RS9902_00197,IPR000550  IPR035907,IPR000550
CK_00000264,CK_Syn_PROS-7-1_00319, ,IPR003399
CK_00000265,CK_Pro_MIT9202_00533,IPR002882  IPR038136  IPR010119,IPR002882|IPR010119
CK_00000266,CK_Syn_WH8020_00220,IPR010218  IPR037232  IPR001268  IPR020396,IPR001268|IPR020396
CK_00000267,CK_Syn_SYN20_00317,IPR006137  IPR006138,IPR006137|IPR006138
CK_00000268,CK_Pro_SB_00927,IPR023043  IPR000440  IPR038430,IPR000440
CK_00000270,CK_Pro_MIT9321_00810,IPR028203  IPR015943  IPR016705,IPR028203
CK_00000271,CK_Syn_WH8109_00193,IPR006217  IPR037025  IPR013081  IPR013082,IPR006217|IPR013081|IPR013082
CK_00000272,CK_Syn_WH8109_00190,IPR002682  IPR037267,IPR002682
CK_00000273,CK_Syn_PROS-9-1_00253,IPR008927  IPR036291  IPR017476  IPR014027  IPR036220  IPR014026  IPR001732  IPR028356,IPR001732|IPR014026|IPR014027|IPR017476
CK_00000274,CK_Syn_A15-127_00217,IPR001509  IPR036291,IPR016040
CK_00000275,CK_Syn_A15-24_00258,IPR006195  IPR045864  IPR004154  IPR036621  IPR015807  IPR041715  IPR004516  IPR033656,IPR004154|IPR006195|IPR015807|IPR041715
CK_00000277,CK_Syn_WH8109_00184, ,IPR004536|IPR010918|IPR016188|IPR030805
CK_00000279,CK_Syn_M16.1_00166,IPR002051  IPR016053  IPR016084  IPR018207,IPR016053
CK_00000280,CK_Pro_MIT0603_01903,IPR019818  IPR014273  IPR040978  IPR046997  IPR024084,IPR004439|IPR019818|IPR024084
CK_00000281,CK_Syn_WH7803_00215, ,IPR010737|IPR031475
CK_00000282,CK_Syn_CC9605_00156,IPR008183  IPR011013  IPR014718,IPR008183
CK_00000283,CK_Syn_BOUM118_00157,IPR006153  IPR038770,IPR006153
CK_00000284,CK_Syn_WH8109_00159, , 
CK_00000285,CK_Syn_WH7803_00204,IPR014720  IPR011907  IPR000999  IPR036389,IPR000999|IPR011907|IPR014720
CK_00000286,CK_Pro_AS9601_18141,IPR005824  IPR043425  IPR014722  IPR001062  IPR015869  IPR008991,IPR021659
CK_00000287,CK_Pro_MIT9123_00648,IPR027275  IPR011033  IPR011961  IPR002676  IPR036976  IPR009000,IPR002676|IPR011961|IPR027275
CK_00000288,CK_Pro_MIT9313_01953,IPR017932  IPR005855  IPR047084  IPR035466  IPR035490  IPR029055  IPR001347  IPR046348,IPR001347|IPR005855|IPR017932
CK_00000289,CK_Cya_NS01_00303,IPR017896  IPR017900  IPR050572,IPR017491|IPR017896|IPR017900
CK_00000290,CK_Syn_KORDI-49_01440,IPR003231  IPR036736  IPR009081  IPR006162,IPR003231|IPR006162|IPR009081
CK_00000291,CK_Cya_PCC6307_02185,IPR029061  IPR009014  IPR055152  IPR005475  IPR005478  IPR020826  IPR049557  IPR033247  IPR005474,IPR005474|IPR005475|IPR005478|IPR020826|IPR049557
CK_00000292,CK_Cya_CB0205_02836,IPR017439  IPR036264  IPR002933  IPR011650,IPR002933|IPR011650|IPR017439
CK_00000293,CK_Syn_RS9915_00143,IPR011990  IPR019734  IPR050498,IPR019734
CK_00000294,CK_Pro_AS9601_18251,IPR003593  IPR041445  IPR004605  IPR027417  IPR008824  IPR008823  IPR036388  IPR036390,IPR004605|IPR008823|IPR008824|IPR041445
CK_00000295,CK_Pro_NATL1A_20681,IPR023620  IPR000037  IPR020081,IPR000037|IPR020081
CK_00000296,CK_Syn_NOUM97013_00145,IPR019717, 
CK_00000297,CK_Pro_LG_01641,IPR004364  IPR006195  IPR045864  IPR002313  IPR044136  IPR018149  IPR012340  IPR004365,IPR002313|IPR004364|IPR004365|IPR006195
CK_00000299,CK_Pro_LG_01638,IPR042177  IPR042175  IPR007221,IPR007221
CK_00000300,CK_Syn_CC9605_00105,IPR043129  IPR004753,IPR004753
CK_00000301,CK_Cya_PCC7001_02754,IPR012340  IPR000424  IPR011344,IPR000424|IPR011344
CK_00000302,CK_Syn_NOUM97013_00137,IPR051311  IPR032816,IPR032816
CK_00000303,CK_Pro_MIT9515_18141,IPR042172  IPR000043  IPR015878  IPR036291  IPR020082,IPR000043|IPR015878|IPR020082
CK_00000304,CK_Syn_WH8020_00138,IPR027417  IPR003442,IPR003442
CK_00000305,CK_Pro_MIT9211_17531,IPR022841  IPR030830  IPR023314  IPR050306  IPR011611  IPR029056,IPR002173|IPR011611
CK_00000306,CK_Syn_ROS8604_00146,IPR003561  IPR047127  IPR020476  IPR015797  IPR020084  IPR000086, 
CK_00000307,CK_Syn_WH8102_00101,IPR000644  IPR046342  IPR006668  IPR038076  IPR006669  IPR006667  IPR036739,IPR000644|IPR006667|IPR006668|IPR006669
CK_00000308,CK_Syn_BL107_06109,IPR000889  IPR029759  IPR036249,IPR000889|IPR029759
CK_00000309,CK_Syn_KORDI-100_01630,IPR002288  IPR011557  IPR036890  IPR003594  IPR020568  IPR014721  IPR001241  IPR013760  IPR000565  IPR013759  IPR013506  IPR018522  IPR006171  IPR034160,IPR002288|IPR003594|IPR006171|IPR011557|IPR013506|IPR018522
CK_00000310,CK_Pro_NATL1A_20891,IPR039657  IPR018022  IPR027417,IPR018022
