SeqCluster,Most represented functional category
CK_00000445,IPR002109|IPR011767|IPR011900
CK_00000446,IPR004215|IPR004218|IPR006284|IPR011761
CK_00000447,IPR000537|IPR011937
CK_00000449,IPR001135|IPR014029
CK_00000450,IPR000792|IPR001789
CK_00000451,IPR010251|IPR010940
CK_00000452,IPR000031
CK_00000454,IPR002891
CK_00000455,IPR001926|IPR006653|IPR006654
CK_00000456,IPR001763
CK_00000457,IPR021518
CK_00000458,IPR019798|IPR039429
CK_00000459,IPR001453|IPR008135|IPR008136|IPR041424
CK_00000460,IPR001030|IPR004430|IPR018136
CK_00000461,IPR000573
CK_00000462,IPR022244
CK_00000463,IPR001056
CK_00000464,IPR001328|IPR018171
CK_00000465,IPR021492
CK_00000467,IPR021435
CK_00000468,IPR000595|IPR012318|IPR018335|IPR022299
CK_00000469,IPR003724
CK_00000470,IPR011962
CK_00000471,IPR013766
CK_00000472,IPR005843|IPR005844|IPR005845|IPR005846|IPR006352|IPR016066
CK_00000473,IPR003358
CK_00000474,IPR021515
CK_00000475,IPR001412|IPR002300|IPR002301|IPR010663|IPR013155
CK_00000476,IPR003837
CK_00000477,IPR002082|IPR006130|IPR006131|IPR006132
CK_00000478,IPR007572
CK_00000479,IPR003382|IPR005252|IPR007085
CK_00000480,IPR002628
CK_00000481,IPR002650|IPR024951|IPR025980
CK_00000482,IPR000453|IPR020541
CK_00000483,IPR007197
CK_00000485,IPR003769
CK_00000486,IPR004839|IPR019942
CK_00000487,IPR003029|IPR004659|IPR019307
CK_00000488,IPR024567
CK_00000489,IPR018971
CK_00000490,IPR001086|IPR002912|IPR018528
CK_00000491,IPR013216|IPR025774
CK_00000492,IPR003111
CK_00000493,IPR001848|IPR027486
CK_00000494,IPR000795|IPR004160|IPR004161|IPR004541|IPR005225|IPR031157
CK_00000495,IPR000640|IPR000795|IPR004161|IPR004540|IPR005225|IPR005517|IPR031157|IPR041095
CK_00000496,IPR005717|IPR020606|IPR023798
CK_00000497,IPR005679|IPR006032
CK_00000499,IPR007038
CK_00000500,IPR000878|IPR002750|IPR006363|IPR021744
CK_00000501,IPR003757
CK_00000502,IPR001173
CK_00000503,IPR000064|IPR041382
CK_00000504,IPR045155
CK_00000505,IPR000821|IPR001608|IPR011079|IPR020622
CK_00000506,IPR002711
CK_00000507,IPR000352|IPR004373|IPR005139
CK_00000508,IPR002150
CK_00000509,IPR000754|IPR020574
CK_00000510,IPR005822|IPR005823|IPR023563
CK_00000511,IPR001406|IPR020097
CK_00000512,IPR000456
CK_00000513,IPR011260|IPR011262|IPR011263|IPR011773
CK_00000514,IPR001971|IPR018102|IPR019981
CK_00000515,IPR001892|IPR018269|IPR019980
CK_00000516,IPR000473
CK_00000517,IPR033690
CK_00000518,IPR002208|IPR030659
CK_00000519,IPR005324|IPR005712|IPR013810|IPR018192
CK_00000520,IPR004389|IPR005484
CK_00000521,IPR002358|IPR019906|IPR020040
CK_00000522,IPR000630|IPR047863
CK_00000523,IPR020929|IPR031309|IPR031310
CK_00000524,IPR003256|IPR005824|IPR005825
CK_00000525,IPR000218|IPR005745
CK_00000526,IPR000266|IPR019979|IPR019984
CK_00000527,IPR000114|IPR020798|IPR047873
CK_00000528,IPR001351|IPR004044|IPR005704|IPR018280
CK_00000529,IPR001063|IPR005727|IPR018260
CK_00000530,IPR002222|IPR005732|IPR020934
CK_00000531,IPR005880|IPR022666|IPR022669|IPR022671
CK_00000532,IPR001014|IPR013025
CK_00000533,IPR002136|IPR013005
CK_00000534,IPR000597|IPR019926|IPR019927
CK_00000535,IPR020874
CK_00000536,IPR017896|IPR017900|IPR021039
CK_00000537,IPR041492
CK_00000538,IPR013765|IPR020584|IPR020587|IPR020588|IPR049261|IPR049428
CK_00000539,IPR021262
CK_00000540,IPR006555
CK_00000541,IPR003099|IPR046825|IPR046826
CK_00000542,IPR002937|IPR014104
CK_00000543,IPR016477
CK_00000544,IPR025564
CK_00000545,IPR000594|IPR001763
CK_00000546,IPR003724
CK_00000547,IPR001962|IPR005232
CK_00000548,IPR003826|IPR017716
CK_00000549,IPR001238|IPR003395|IPR018078
CK_00000550,IPR000182
CK_00000551,IPR018129|IPR021135|IPR033129
CK_00000552,IPR006336|IPR011792
CK_00000553,IPR006805|IPR015890
CK_00000554,IPR003685
CK_00000555,IPR005467
CK_00000556,IPR001182|IPR011923
CK_00000557,IPR002744|IPR033756
CK_00000558,IPR001260|IPR018375
CK_00000559,IPR021919
CK_00000560,IPR002562
CK_00000561,IPR019994
CK_00000563,IPR004733|IPR010918|IPR016188
CK_00000564,IPR003136|IPR003721|IPR011994
CK_00000565,IPR023485
CK_00000566,IPR018485
CK_00000567,IPR002133|IPR022628|IPR022629|IPR022630|IPR022631
CK_00000568,IPR003029
CK_00000569,IPR003796|IPR005144
CK_00000570,IPR000932|IPR017486
CK_00000571,IPR001041
CK_00000572,IPR006683
CK_00000573,IPR002052|IPR004556|IPR007848|IPR019874
CK_00000574,IPR006070
CK_00000575,IPR005527
CK_00000576,IPR010223|IPR033756
CK_00000577,IPR005526
CK_00000578,IPR006674|IPR045509
CK_00000579,IPR005797
CK_00000580,IPR005798|IPR005870
CK_00000581,IPR024746
CK_00000582,IPR000214|IPR010663|IPR012319|IPR015886|IPR015887|IPR020629
CK_00000584,IPR001874|IPR018509
CK_00000585,IPR010386
CK_00000586,IPR000432|IPR002625|IPR005747|IPR046893
CK_00000587,IPR006073|IPR006169|IPR014100|IPR031167
CK_00000588,IPR007036
CK_00000589,IPR011611
CK_00000590,IPR000878|IPR008189|IPR018063
CK_00000591,IPR000760|IPR020550
CK_00000592,IPR001247|IPR003029|IPR004088|IPR012162|IPR015847|IPR015848
CK_00000593,IPR001209|IPR018271
CK_00000594,IPR001478|IPR004387|IPR008915
CK_00000595,IPR002314|IPR002317|IPR006195|IPR015866
CK_00000596,IPR003959|IPR041569
CK_00000597,IPR028055
CK_00000598,IPR005182
CK_00000599,IPR000100
CK_00000600,IPR008243
CK_00000601,IPR002142|IPR004635
CK_00000602,IPR000620
CK_00000603,IPR007922
CK_00000604,IPR004143|IPR004408
CK_00000605,IPR016047
CK_00000606,IPR001750|IPR010096
CK_00000607,IPR005733|IPR006171|IPR013497|IPR023406|IPR025589
CK_00000608,IPR018710
CK_00000609,IPR002805|IPR003200
CK_00000610,IPR006311
CK_00000611,IPR017896|IPR017900|IPR023210
CK_00000612,IPR001783|IPR026017
CK_00000613,IPR000298
CK_00000614,IPR001505|IPR002429|IPR011759|IPR014222
CK_00000615,IPR003780
CK_00000616,IPR000537|IPR006369|IPR030470
CK_00000617,IPR003148|IPR006037|IPR013099
CK_00000618,IPR001228|IPR018294|IPR034683
CK_00000619,IPR000537|IPR030470
CK_00000620,IPR003695|IPR048950
CK_00000621,IPR000878|IPR003043|IPR006362
CK_00000622,IPR001640
CK_00000623,IPR002325|IPR024094
CK_00000624,IPR002033|IPR019820
CK_00000625,IPR008532
CK_00000626,IPR003666
CK_00000627,IPR000905|IPR017860|IPR017861|IPR022450
CK_00000628,IPR006153
CK_00000629,IPR001412|IPR004527|IPR020058|IPR045462
CK_00000631,IPR001857|IPR018257
CK_00000632,IPR000994|IPR002467
CK_00000633,IPR001509
CK_00000634,IPR010766
CK_00000635,IPR003488
CK_00000636,IPR007551
CK_00000638,IPR002822
CK_00000639,IPR000515
CK_00000640,IPR001602
CK_00000641,IPR001333
CK_00000642,IPR008162
CK_00000643,IPR000860|IPR022417|IPR022418|IPR022419
CK_00000644,IPR001650|IPR005259|IPR011545|IPR014001|IPR040498|IPR041222|IPR041236
CK_00000645,IPR001048|IPR004662
CK_00000646,IPR021275
CK_00000647,IPR000424
CK_00000648,IPR003723
CK_00000649,IPR002173|IPR011611
CK_00000650,IPR001114|IPR018220|IPR033128
CK_00000651,IPR017488|IPR025585
CK_00000652,IPR002314|IPR004154|IPR004500|IPR006195|IPR007214
CK_00000654,IPR008162
CK_00000655,IPR000223|IPR019533|IPR019757|IPR019758
CK_00000656,IPR002195|IPR006680
CK_00000657,IPR001345|IPR013078
CK_00000658,IPR003675
CK_00000659,IPR001460|IPR005311
CK_00000660,IPR001585|IPR002048|IPR004730|IPR018225|IPR018247
CK_00000661,IPR002661|IPR023584
CK_00000662,IPR001048|IPR015963
CK_00000663,IPR003724
CK_00000664,IPR001015|IPR019772
CK_00000665,IPR003730
CK_00000666,IPR046760|IPR046761
CK_00000667,IPR003029
CK_00000668,IPR003785
CK_00000669,IPR006151|IPR016836
CK_00000670,IPR001095|IPR011763
CK_00000671,IPR002347|IPR020904
CK_00000672,IPR001240
CK_00000673,IPR008915
CK_00000674,IPR004143
CK_00000675,IPR002347|IPR005979
CK_00000676,IPR000392|IPR005971|IPR030655
CK_00000677,IPR000510|IPR005969|IPR013580
CK_00000678,IPR000510|IPR005970
CK_00000680,IPR000249|IPR044870
CK_00000681,IPR000685|IPR017443|IPR020878
CK_00000682,IPR000894
CK_00000683,IPR020990
CK_00000684,IPR014074|IPR048539|IPR048619|IPR048620
CK_00000685,IPR004992|IPR014076
CK_00000686,IPR004992|IPR014077
CK_00000687,IPR001041|IPR006058
CK_00000688,IPR002586|IPR004459|IPR011698
CK_00000689,IPR001912|IPR002942|IPR005709|IPR018079
CK_00000690,IPR002696
CK_00000691,IPR000713|IPR004101|IPR005761|IPR013221
CK_00000692,IPR000192
CK_00000693,IPR001075
CK_00000694,IPR000640|IPR000795|IPR004161|IPR005225|IPR006297|IPR013842|IPR031157
CK_00000695,IPR000515
CK_00000696,IPR001537|IPR022724
CK_00000697,IPR001678|IPR004573|IPR006027|IPR018314|IPR049560
CK_00000698,IPR000537|IPR006372|IPR011799
CK_00000699,IPR002310|IPR006194
CK_00000700,IPR004485
CK_00000701,IPR000506|IPR013023|IPR013116
CK_00000702,IPR002792
CK_00000703,IPR004559|IPR007197
CK_00000704,IPR003700
CK_00000705,IPR000158|IPR003008|IPR020805|IPR024757
CK_00000707,IPR000291|IPR005905|IPR011095|IPR011127|IPR011761
CK_00000708,IPR002792|IPR005839|IPR007197|IPR013848|IPR020612
CK_00000709,IPR006094|IPR016166
CK_00000710,IPR001646
CK_00000711,IPR001645|IPR013221
CK_00000712,IPR004636|IPR005814|IPR049704
CK_00000714,IPR001537|IPR053888
CK_00000715,IPR001468|IPR013798
CK_00000716,IPR001179
CK_00000717,IPR003010
CK_00000718,IPR004506|IPR046884|IPR046885
CK_00000719,IPR000897|IPR004125|IPR004780|IPR013822
CK_00000720,IPR000307|IPR020592
CK_00000721,IPR003714
CK_00000722,IPR006214
CK_00000724,IPR004044|IPR005225|IPR005662|IPR006073|IPR030388
CK_00000725,IPR022512
CK_00000726,IPR000031|IPR039476
CK_00000727,IPR022998|IPR034291|IPR041397
CK_00000728,IPR002606|IPR015864|IPR015865
CK_00000729,IPR022051
CK_00000730,IPR002828
CK_00000731,IPR002319|IPR004188|IPR004529|IPR006195
CK_00000732,IPR002504
CK_00000733,IPR000878|IPR012818|IPR014008
CK_00000734,IPR021469
CK_00000735,IPR002125|IPR002734|IPR004794|IPR011549|IPR016192
CK_00000736,IPR003738
CK_00000737,IPR002292|IPR006130|IPR006131|IPR006132
CK_00000738,IPR006199|IPR006200|IPR015927
CK_00000739,IPR003846
CK_00000740,IPR002937|IPR014101
CK_00000741,IPR001789|IPR001867
CK_00000742,IPR046649
CK_00000743,IPR002109|IPR004480
CK_00000744,IPR002634
CK_00000745,IPR019734
CK_00000746,IPR002123
CK_00000747,IPR004569
CK_00000748,IPR041500
CK_00000749,IPR014016|IPR014017
CK_00000750,IPR002683
CK_00000751,IPR000093|IPR006171|IPR015967
CK_00000753,IPR004045|IPR009297
CK_00000754,IPR001763|IPR040503
CK_00000755,IPR002684|IPR007197|IPR010722
CK_00000756,IPR001441|IPR018520
CK_00000757,IPR003390|IPR034701
CK_00000758,IPR002986|IPR022643|IPR022644|IPR022657
CK_00000759,IPR000073
CK_00000760,IPR000374
CK_00000761,IPR000310|IPR008286
CK_00000762,IPR000748|IPR002942|IPR006145|IPR018496
CK_00000763,IPR003385
CK_00000764,IPR000842|IPR005946|IPR029099
CK_00000765,IPR025638
CK_00000766,IPR008479
CK_00000767,IPR000223|IPR019533|IPR019756|IPR019757|IPR019758
CK_00000768,IPR004433|IPR011766|IPR012001
CK_00000769,IPR001753|IPR010198|IPR018376
