SeqCluster,Pfam_result
CK_00000258,PF00408|PF02878|PF02879|PF02880
CK_00000259,PF03055
CK_00000260,PF00475
CK_00000261,PF13561
CK_00000262,PF00293
CK_00000263,PF01288
CK_00000264,PF02470
CK_00000265,PF01933
CK_00000266,PF00329
CK_00000267,PF01058
CK_00000268,PF00507
CK_00000269,PF00301
CK_00000270,PF14870
CK_00000271,PF00283|PF00284
CK_00000272,PF01788
CK_00000273,PF00984|PF03720|PF03721
CK_00000274,PF16363
CK_00000275,PF03129|PF13393
CK_00000277,PF00586|PF02769
CK_00000278,PF01743
CK_00000279,PF01126
CK_00000280,PF00180
CK_00000281,PF07005|PF17042
CK_00000282,PF01263
CK_00000283,PF00999
CK_00000285,PF00035|PF14622
CK_00000286,PF11623
CK_00000287,PF01782|PF05239
CK_00000288,PF01380|PF13522
CK_00000289,PF12838
CK_00000290,PF00550
CK_00000291,PF00456|PF02779|PF22613
CK_00000292,PF01546|PF07687
CK_00000293,PF13432
CK_00000294,PF05491|PF05496|PF17864
CK_00000295,PF01668
CK_00000297,PF00152|PF01336
CK_00000299,PF04085
CK_00000300,PF06723
CK_00000301,PF00436
CK_00000302,PF09335
CK_00000303,PF00670|PF05221
CK_00000304,PF02367
CK_00000305,PF00294
CK_00000306,PF00730|PF14815
CK_00000307,PF00571|PF01769|PF03448
CK_00000308,PF00255
CK_00000309,PF00204|PF00986|PF01751|PF02518
CK_00000310,PF01715
CK_00000311,PF00707|PF05198
CK_00000312,PF00392
CK_00000313,PF00132|PF06426
CK_00000314,PF00885
CK_00000315,PF00488|PF01624|PF05188|PF05190|PF05192
CK_00000316,PF00583
CK_00000317,PF00271|PF02151|PF04851|PF12344|PF17757
CK_00000318,PF04481
CK_00000319,PF01171|PF09179
CK_00000320,PF02570
CK_00000321,PF06144|PF21694
CK_00000322,PF00753|PF07521|PF17770|PF22505
CK_00000323,PF00701
CK_00000324,PF01118|PF02774
CK_00000325,PF06689|PF07724|PF10431
CK_00000326,PF12169|PF13177|PF22608
CK_00000327,PF13641
CK_00000328,PF08486
CK_00000329,PF01632
CK_00000330,PF00453
CK_00000332,PF05690
CK_00000333,PF00534|PF13439
CK_00000334,PF00905|PF03717
CK_00000336,PF00117|PF00958|PF02540
CK_00000337,PF01888
CK_00000338,PF00266
CK_00000339,PF01844
CK_00000340,PF01370
CK_00000341,PF04166
CK_00000342,PF00364
CK_00000343,PF01132|PF08207|PF09285
CK_00000344,PF00160|PF21329
CK_00000345,PF00586|PF02769
CK_00000346,PF01225|PF02875|PF08245
CK_00000347,PF01565|PF02873
CK_00000348,PF02575
CK_00000349,PF03193
CK_00000350,PF00226|PF00684|PF01556
CK_00000351,PF01025
CK_00000352,PF03486|PF22780
CK_00000353,PF01207
CK_00000354,PF00206|PF14698
CK_00000355,PF07228
CK_00000356,PF00448|PF02881
CK_00000357,PF01029
CK_00000358,PF04367
CK_00000359,PF08331|PF13484
CK_00000360,PF13432
CK_00000361,PF00156|PF13522
CK_00000362,PF00586|PF02769|PF18072
CK_00000363,PF05239
CK_00000364,PF00712|PF02767|PF02768
CK_00000365,PF07176
CK_00000366,PF02463
CK_00000367,PF17755|PF17760
CK_00000368,PF00534|PF05116|PF13439
CK_00000369,PF02222|PF21244|PF22660
CK_00000371,PF00953|PF10555
CK_00000372,PF11332
CK_00000373,PF00764|PF20979
CK_00000374,PF01250
CK_00000375,PF16166
CK_00000376,PF08501|PF18317
CK_00000377,PF01266
CK_00000378,PF04932
CK_00000380,PF00330|PF06434|PF11791
CK_00000381,PF00793
CK_00000383,PF02503|PF13089|PF13090|PF17941
CK_00000384,PF00590
CK_00000385,PF01063
CK_00000386,PF00425
CK_00000387,PF06508
CK_00000388,PF04055|PF13353
CK_00000389,PF00117|PF06418
CK_00000390,PF00152|PF01336|PF02938
CK_00000391,PF01571|PF08669
CK_00000392,PF00491
CK_00000393,PF01564|PF17284
CK_00000394,PF00472
CK_00000395,PF03819
CK_00000396,PF13483
CK_00000397,PF01475
CK_00000398,PF00106
CK_00000399,PF13640
CK_00000401,PF00133|PF08264|PF10458
CK_00000402,PF09335
CK_00000403,PF16156
CK_00000404,PF10263|PF17283
CK_00000405,PF01947
CK_00000406,PF01134|PF13932|PF21680
CK_00000407,PF01281|PF03948
CK_00000408,PF06838
CK_00000409,PF01597
CK_00000410,PF02347|PF21478
CK_00000411,PF00258|PF01613|PF19583
CK_00000412,PF01613|PF19583
CK_00000413,PF00176|PF00271|PF12419
CK_00000414,PF01411|PF02272|PF07973
CK_00000415,PF02784|PF17810|PF17944
CK_00000416,PF00334
CK_00000417,PF01266
CK_00000418,PF02637|PF02934
CK_00000420,PF01960
CK_00000421,PF03109
CK_00000422,PF00113|PF03952
CK_00000423,PF00903
CK_00000424,PF00584
CK_00000425,PF00467|PF02357
CK_00000426,PF00298|PF03946
CK_00000427,PF00687
CK_00000428,PF00466
CK_00000429,PF00542|PF16320
CK_00000430,PF00075
CK_00000431,PF01180
CK_00000432,PF00155
CK_00000433,PF03033|PF04101
CK_00000435,PF01926
CK_00000436,PF01926|PF10396|PF12631
CK_00000437,PF01729|PF02749
CK_00000438,PF00750|PF03485|PF05746
CK_00000439,PF00155
CK_00000440,PF13483
CK_00000441,PF00117
CK_00000442,PF01219
CK_00000443,PF02130
CK_00000444,PF00472|PF03462
CK_00000445,PF00462
CK_00000446,PF02951|PF02955
CK_00000447,PF01040
CK_00000449,PF00346
CK_00000450,PF00072|PF00196
CK_00000451,PF01209|PF07109
CK_00000452,PF00731
CK_00000454,PF01583
CK_00000455,PF00291
CK_00000456,PF00581
CK_00000457,PF11378
CK_00000458,PF00464
CK_00000459,PF00994|PF02464|PF18146
CK_00000460,PF00330
CK_00000461,PF00694
CK_00000462,PF12600
CK_00000463,PF00737
CK_00000464,PF01195
CK_00000465,PF11344
CK_00000467,PF11283
CK_00000468,PF00027|PF13545
CK_00000469,PF02572
CK_00000470,PF22769
CK_00000471,PF00085
CK_00000472,PF00408|PF02878|PF02879|PF02880
CK_00000473,PF02390
CK_00000474,PF11375
CK_00000475,PF00133|PF06827|PF08264
CK_00000476,PF02686
CK_00000477,PF00185|PF02729
CK_00000478,PF04483
CK_00000479,PF02441|PF04127
CK_00000480,PF01716
CK_00000481,PF01747|PF14306
CK_00000482,PF01264
CK_00000483,PF04055
CK_00000485,PF02617
CK_00000486,PF00155
CK_00000487,PF10150
CK_00000488,PF01351
CK_00000489,PF09366
CK_00000490,PF00800|PF01842
CK_00000491,PF08241
CK_00000492,PF02190
CK_00000493,PF00338
CK_00000494,PF00009|PF03143|PF03144
CK_00000495,PF00009|PF00679|PF03144|PF03764|PF14492
CK_00000496,PF00177
CK_00000497,PF00164
CK_00000499,PF04955
CK_00000500,PF00590|PF01890|PF11760
CK_00000501,PF02605
CK_00000502,PF00535
CK_00000503,PF00877|PF18348
CK_00000504,PF13354
CK_00000505,PF00842|PF01168
CK_00000506,PF01844
CK_00000507,PF00472|PF03462
CK_00000508,PF01197
CK_00000509,PF00380
CK_00000510,PF00572
CK_00000511,PF01416
CK_00000512,PF01196
CK_00000513,PF01000|PF01193|PF03118
CK_00000514,PF00411
CK_00000515,PF00416
CK_00000516,PF00444
CK_00000517,PF00406
CK_00000518,PF00344
CK_00000519,PF00333|PF03719
CK_00000520,PF00861
CK_00000521,PF00347
CK_00000522,PF00410
CK_00000523,PF00281|PF00673
CK_00000524,PF00467|PF17136
CK_00000525,PF00238
CK_00000526,PF00366
CK_00000527,PF00252
CK_00000528,PF00189|PF07650
CK_00000529,PF00237
CK_00000530,PF00203
CK_00000531,PF00181|PF03947
CK_00000532,PF00276
CK_00000533,PF00573
CK_00000534,PF00297
CK_00000535,PF11909
CK_00000536,PF00037|PF12617
CK_00000537,PF00702
CK_00000538,PF00154|PF21096
CK_00000539,PF10999
CK_00000540,PF13307
CK_00000541,PF02153|PF20463
CK_00000542,PF01593
CK_00000543,PF03881
CK_00000544,PF14159
CK_00000545,PF00581|PF00899
CK_00000546,PF02572
CK_00000547,PF00733
CK_00000548,PF02675
CK_00000549,PF02463
CK_00000551,PF00311
CK_00000552,PF04107
CK_00000553,PF00425|PF04715
CK_00000554,PF02531
CK_00000555,PF00512
CK_00000556,PF01098
CK_00000557,PF01883|PF10609
CK_00000558,PF01218
CK_00000559,PF12046
CK_00000560,PF01612
CK_00000563,PF00586|PF02769
CK_00000564,PF02224|PF02569
CK_00000565,PF01451
CK_00000566,PF02782
CK_00000567,PF00438|PF02772|PF02773
CK_00000568,PF00575
CK_00000569,PF03477|PF22811
CK_00000570,PF00421
CK_00000571,PF00111
CK_00000572,PF13279
CK_00000573,PF05175
CK_00000574,PF01300
CK_00000575,PF03776
CK_00000576,PF10609
CK_00000577,PF03775
CK_00000578,PF01966|PF19276
CK_00000579,PF00033
CK_00000580,PF00032
CK_00000581,PF12899
CK_00000582,PF01149|PF06827|PF06831
CK_00000584,PF01220
CK_00000585,PF06175
CK_00000586,PF00488|PF01713|PF20297
CK_00000587,PF01018|PF01926
CK_00000588,PF04952
CK_00000589,PF00294
CK_00000590,PF00590
CK_00000591,PF00459
CK_00000592,PF00013|PF00575|PF01138|PF03725|PF03726
CK_00000593,PF00253
CK_00000594,PF02163|PF13180
CK_00000595,PF00587|PF02403
CK_00000596,PF00004|PF17862
CK_00000597,PF02096
CK_00000598,PF03703
CK_00000599,PF00825
CK_00000600,PF07736
CK_00000601,PF01343
CK_00000602,PF00892
CK_00000603,PF05258
CK_00000604,PF03099
CK_00000605,PF01551
CK_00000606,PF00361
CK_00000607,PF01131|PF01751|PF13368
CK_00000608,PF09991
CK_00000609,PF02277
CK_00000610,PF13343
CK_00000611,PF00248|PF13187
CK_00000612,PF00677
CK_00000613,PF00510
CK_00000614,PF00116|PF02790
CK_00000615,PF02628
CK_00000616,PF01040
CK_00000617,PF02080|PF02254|PF07885
CK_00000618,PF01128
CK_00000619,PF01040
CK_00000620,PF02541|PF21447
CK_00000621,PF00590
CK_00000622,PF01790
CK_00000623,PF01333|PF16639
CK_00000624,PF00902
CK_00000625,PF05670|PF05833
CK_00000626,PF02507
CK_00000627,PF00814
CK_00000628,PF00999
CK_00000629,PF00749|PF19269
CK_00000631,PF01245
CK_00000632,PF00557
CK_00000633,PF01370
CK_00000634,PF07085|PF13500
CK_00000635,PF02481
CK_00000636,PF04461
CK_00000638,PF01969
CK_00000639,PF00528
CK_00000640,PF01894
CK_00000641,PF02074
CK_00000642,PF00719
CK_00000643,PF01379|PF03900
CK_00000644,PF00270|PF00271|PF17764|PF18074|PF18319
CK_00000645,PF00696
CK_00000646,PF11016
CK_00000647,PF00436
CK_00000648,PF02571
CK_00000649,PF00294
CK_00000650,PF00709
CK_00000651,PF13326
CK_00000652,PF00587|PF03129|PF04073
CK_00000654,PF00719
CK_00000655,PF10502
CK_00000656,PF01979
CK_00000657,PF00300
CK_00000658,PF02517
CK_00000659,PF00905|PF03717
CK_00000660,PF00923|PF13202
CK_00000661,PF01765
CK_00000662,PF00696
CK_00000663,PF02572
CK_00000664,PF00762
CK_00000665,PF02578
CK_00000666,PF06485|PF20429
CK_00000667,PF00575
CK_00000668,PF02633
CK_00000669,PF01488
CK_00000670,PF03255
CK_00000671,PF00106
CK_00000672,PF00697
CK_00000673,PF02163
CK_00000674,PF21948
CK_00000675,PF00106
CK_00000676,PF00142
CK_00000677,PF00148|PF08369
CK_00000678,PF00148
CK_00000680,PF00936
CK_00000681,PF00016|PF02788
CK_00000682,PF00101
CK_00000683,PF12288
CK_00000684,PF08936|PF20686|PF20687
CK_00000685,PF03319
CK_00000686,PF03319
CK_00000687,PF00111
CK_00000688,PF01656|PF07685
CK_00000689,PF00163|PF01479
CK_00000690,PF01809
CK_00000691,PF01225|PF02875|PF08245
CK_00000692,PF00266
CK_00000693,PF01106
CK_00000694,PF00009|PF00679|PF03144|PF06421
CK_00000695,PF00528
CK_00000696,PF00588|PF12105
CK_00000697,PF01029|PF01189|PF22458
CK_00000698,PF01040
CK_00000699,PF02091
CK_00000700,PF03186
CK_00000701,PF01450|PF07991
CK_00000702,PF01938
CK_00000703,PF04055
CK_00000704,PF02548
CK_00000705,PF00091|PF12327
CK_00000707,PF01820|PF07478
CK_00000708,PF00919|PF01938|PF04055
CK_00000709,PF01565
CK_00000710,PF00805
CK_00000711,PF08245
CK_00000712,PF00202
CK_00000714,PF00588|PF22435
CK_00000715,PF00218
CK_00000716,PF00254
CK_00000717,PF00795
CK_00000718,PF03054|PF20258|PF20259
CK_00000719,PF00448|PF02881|PF02978
CK_00000720,PF00886
CK_00000721,PF02562
CK_00000722,PF01027
CK_00000724,PF01926|PF07650
CK_00000725,PF03992
CK_00000726,PF00731
CK_00000727,PF02581|PF17792
CK_00000728,PF01687|PF06574
CK_00000729,PF12263
CK_00000730,PF01975
CK_00000731,PF01409|PF02912
CK_00000732,PF01513|PF20143
CK_00000733,PF00590
CK_00000734,PF11320
CK_00000735,PF00383|PF01872
CK_00000736,PF02586
CK_00000737,PF00185|PF02729
CK_00000738,PF00717|PF01726
CK_00000739,PF02696
CK_00000740,PF01593
CK_00000741,PF00072|PF00486
CK_00000742,PF20547
CK_00000743,PF00462
CK_00000744,PF01722
CK_00000745,PF13374
CK_00000746,PF01553
CK_00000747,PF03740
CK_00000748,PF04257|PF17946
CK_00000749,PF00580|PF13361
CK_00000750,PF01789
CK_00000751,PF02132|PF13662|PF21175|PF21176
CK_00000753,PF06108|PF13410|PF13417
CK_00000754,PF00581|PF17773
CK_00000755,PF04055|PF06968
CK_00000756,PF01255
CK_00000757,PF02457
CK_00000758,PF00278|PF02784
CK_00000759,PF12697
CK_00000760,PF01148
CK_00000761,PF01276|PF03711
CK_00000762,PF00849|PF01479
CK_00000763,PF02446
CK_00000764,PF13793|PF14572
CK_00000765,PF14234
CK_00000766,PF05542
CK_00000767,PF10502
CK_00000768,PF02775|PF02776
CK_00000769,PF00378
CK_00000771,PF00534|PF08323
CK_00000772,PF00132|PF12804
CK_00000773,PF05430
CK_00000774,PF00275
CK_00000775,PF04029
CK_00000776,PF01520|PF11741
CK_00000777,PF01177
CK_00000778,PF00348
CK_00000779,PF00501|PF13193|PF16177
CK_00000780,PF07082
CK_00000781,PF00929
CK_00000782,PF00591|PF02885
CK_00000783,PF00117|PF00988
CK_00000784,PF00636
CK_00000785,PF00588|PF08032
CK_00000786,PF08846
CK_00000787,PF01336|PF02811|PF07733|PF14579|PF17657
CK_00000788,PF11947
CK_00000789,PF00312
CK_00000790,PF01330|PF07499|PF14520
CK_00000791,PF00892
CK_00000792,PF01807|PF08275|PF10410|PF13155
CK_00000793,PF00005
CK_00000795,PF08241
CK_00000796,PF02445
CK_00000797,PF04536
CK_00000798,PF02636
CK_00000799,PF01761
CK_00000800,PF02222|PF17769|PF22660
CK_00000801,PF09876
CK_00000802,PF11264
CK_00000803,PF02687|PF12704
CK_00000804,PF00224|PF00391|PF02887
CK_00000805,PF03819
CK_00000806,PF02325
CK_00000807,PF04079
CK_00000808,PF00291|PF00585
CK_00000809,PF01241
CK_00000810,PF12159
CK_00000811,PF10693
CK_00000812,PF00578
CK_00000813,PF00830
CK_00000814,PF00183|PF13589
CK_00000815,PF00459
CK_00000816,PF00111
CK_00000817,PF00005
CK_00000818,PF00528
CK_00000819,PF00226|PF01556
CK_00000820,PF11360
CK_00000821,PF01048
CK_00000822,PF00160
CK_00000823,PF00925|PF00926
CK_00000824,PF01118|PF22698
CK_00000825,PF00551
CK_00000827,PF00342
CK_00000828,PF00133|PF08264|PF09334|PF13603
CK_00000829,PF01678
CK_00000830,PF09353
CK_00000831,PF02113
CK_00000832,PF01467
CK_00000833,PF01613
CK_00000834,PF01541|PF02151|PF08459|PF14520|PF22920
CK_00000835,PF03653
CK_00000836,PF02811
CK_00000837,PF01063
CK_00000838,PF00809|PF02310|PF02574|PF02607|PF02965
CK_00000839,PF13319
CK_00000841,PF09830|PF19327
CK_00000842,PF00226
CK_00000843,PF01588|PF03147|PF03483|PF03484|PF17759
CK_00000844,PF01084
CK_00000845,PF00773
CK_00000846,PF09334|PF19303
CK_00000847,PF11152
CK_00000848,PF02283
CK_00000849,PF00588
CK_00000851,PF00702
CK_00000852,PF03692
CK_00000853,PF11210
CK_00000854,PF01523|PF19289|PF19290
CK_00000855,PF01523|PF19289|PF19290
CK_00000856,PF00551|PF02911
CK_00000857,PF00270|PF00271|PF02559|PF03461|PF17757
CK_00000858,PF04551
CK_00000859,PF03167
CK_00000860,PF12974
CK_00000861,PF00528
CK_00000862,PF01940
CK_00000863,PF04452|PF20260
CK_00000864,PF12049
CK_00000865,PF00009|PF16658|PF22042
CK_00000866,PF13649
CK_00000867,PF21995
CK_00000868,PF00892
CK_00000869,PF02492|PF07683
CK_00000870,PF14681
CK_00000871,PF00920
CK_00000873,PF08547
CK_00000874,PF01182
CK_00000875,PF00393|PF03446
CK_00000876,PF00483
CK_00000877,PF00745|PF01488|PF05201
CK_00000878,PF03320
CK_00000879,PF00834
CK_00000880,PF01578
CK_00000881,PF03739
CK_00000882,PF03745
CK_00000883,PF00009|PF00679|PF03144|PF21018
CK_00000884,PF02557
CK_00000885,PF01494
CK_00000886,PF02092
CK_00000887,PF01077|PF03460
CK_00000888,PF01427
CK_00000889,PF00270|PF00271|PF17191|PF19833
CK_00000890,PF00889
CK_00000891,PF00318
CK_00000892,PF00535
CK_00000894,PF05996
CK_00000895,PF00675|PF05193
CK_00000896,PF00675|PF05193
CK_00000897,PF11347
CK_00000898,PF01252
CK_00000899,PF01926|PF05128
CK_00000900,PF00282
CK_00000901,PF14437
CK_00000902,PF00266
CK_00000903,PF13649
CK_00000904,PF13581
CK_00000905,PF05419
CK_00000906,PF00581
CK_00000907,PF03912
CK_00000908,PF01594
CK_00000909,PF02355|PF07549
CK_00000910,PF02355|PF07549|PF21760|PF22599
CK_00000911,PF02779|PF02780
CK_00000913,PF00288|PF08544
CK_00000914,PF00398
CK_00000915,PF00805
CK_00000917,PF00717
CK_00000918,PF00817|PF11799|PF13438
CK_00000919,PF01297
CK_00000920,PF00633|PF00730
CK_00000922,PF04134
CK_00000923,PF01165
CK_00000924,PF13460
CK_00000925,PF05128
CK_00000927,PF00579
CK_00000928,PF00587|PF02824|PF03129|PF07973
CK_00000929,PF08854
CK_00000930,PF02685
CK_00000931,PF00288|PF08544
CK_00000932,PF01432|PF19310
CK_00000933,PF02152
CK_00000934,PF04357
CK_00000935,PF10726
CK_00000937,PF02129|PF08530
CK_00000938,PF00128|PF02806|PF02922|PF22019
CK_00000939,PF01208
CK_00000940,PF01370
CK_00000941,PF01242
CK_00000942,PF01502|PF01503
CK_00000943,PF09980
CK_00000944,PF03795
CK_00000945,PF00290
CK_00000947,PF10716
CK_00000948,PF02852|PF07992
CK_00000949,PF13409
CK_00000950,PF00308|PF08299|PF11638
CK_00000951,PF09837
CK_00000952,PF00535
CK_00000953,PF00583
CK_00000954,PF01634
CK_00000955,PF00753|PF16123
CK_00000956,PF01475
CK_00000957,PF04055|PF12345
CK_00000959,PF06089
CK_00000960,PF02410
CK_00000961,PF11780
CK_00000962,PF02142|PF02786|PF02787
CK_00000963,PF11866
CK_00000965,PF00121
CK_00000966,PF00809
CK_00000967,PF01113|PF05173
CK_00000969,PF00504
CK_00000970,PF01494
CK_00000971,PF00156
CK_00000972,PF11237
CK_00000973,PF06080
CK_00000974,PF02700
CK_00000975,PF13507
CK_00000976,PF01116
CK_00000977,PF01408|PF02894
CK_00000978,PF01039|PF17848
CK_00000979,PF00485
CK_00000980,PF00180
CK_00000981,PF00132|PF04613
CK_00000982,PF00696|PF01472
CK_00000983,PF13242
CK_00000984,PF12527
CK_00000985,PF03652
CK_00000988,PF12452
CK_00000989,PF00977
CK_00000990,PF01370
CK_00000991,PF01066
CK_00000992,PF13911
CK_00000993,PF00512|PF02518|PF07689
CK_00000994,PF03364
CK_00000995,PF00175|PF00970
CK_00000996,PF00479|PF02781
CK_00000997,PF10128|PF20171
CK_00000998,PF01656|PF07685
CK_00000999,PF02681
CK_00001000,PF00348
CK_00001001,PF00763|PF02882
CK_00001002,PF01966|PF07697|PF07698
CK_00001003,PF00682|PF08502|PF22617
CK_00001004,PF03065|PF09210
CK_00001005,PF00478
CK_00001006,PF03602
CK_00001007,PF13442
CK_00001008,PF00588
CK_00001009,PF01078|PF17863
CK_00001010,PF02075
CK_00001011,PF01812
CK_00001012,PF02657
CK_00001013,PF00742|PF01842|PF03447
CK_00001014,PF00496
CK_00001015,PF00528|PF19300
CK_00001016,PF07176|PF12697
CK_00001017,PF01926|PF06071
CK_00001018,PF00529|PF16576
CK_00001019,PF00476|PF01367|PF01612|PF02739
CK_00001020,PF02670|PF08436|PF13288
CK_00001021,PF12146
CK_00001022,PF02233
CK_00001023,PF12769
CK_00001024,PF01262|PF05222
CK_00001025,PF01176
CK_00001026,PF13460
CK_00001027,PF12697
CK_00001028,PF10369|PF22629
CK_00001029,PF00160
CK_00001030,PF02392
CK_00001031,PF00421
CK_00001032,PF02547
CK_00001033,PF00198|PF00364|PF02817
CK_00001034,PF11068
CK_00001035,PF00501
CK_00001036,PF21948
CK_00001037,PF02482|PF16321
CK_00001038,PF01791
CK_00001039,PF02565|PF11967
CK_00001040,PF13439|PF13692
CK_00001041,PF00590
CK_00001042,PF03807|PF14748
CK_00001043,PF01168
CK_00001044,PF12058
CK_00001045,PF02361
CK_00001046,PF01926|PF14714
CK_00001047,PF00206|PF10415
CK_00001048,PF00270|PF00271|PF08148
CK_00001049,PF00155
CK_00001050,PF13500
CK_00001051,PF00202
CK_00001052,PF00226
CK_00001053,PF02527
CK_00001054,PF00248
CK_00001055,PF06868
CK_00001056,PF13646
CK_00001057,PF04055|PF21016
CK_00001058,PF00504
CK_00001059,PF04983|PF04998|PF05000
CK_00001060,PF00623|PF04983|PF04997
CK_00001061,PF01026
CK_00001062,PF01649
CK_00001063,PF00815
CK_00001064,PF02576
CK_00001065,PF08529|PF13184
CK_00001066,PF04296
CK_00001067,PF00009|PF04760|PF11987|PF22042
CK_00001068,PF00216
CK_00001069,PF02405
CK_00001070,PF11317
CK_00001071,PF11285
CK_00001072,PF02660
CK_00001073,PF00215
CK_00001074,PF00579|PF22421
CK_00001075,PF08855
CK_00001076,PF01541
CK_00001077,PF00883|PF02789
CK_00001078,PF01625
CK_00001079,PF02684
CK_00001080,PF00132|PF13720
CK_00001081,PF07977
