SeqCluster,GO_result
CK_00000272,GO:0009523|GO:0009539|GO:0015979|GO:0016020
CK_00000273,GO:0016616|GO:0051287
CK_00000275,GO:0004821|GO:0005524|GO:0006427
CK_00000277,GO:0005524|GO:0016491
CK_00000278,GO:0003723|GO:0006396|GO:0016779
CK_00000279,GO:0004392|GO:0006788
CK_00000280,GO:0000287|GO:0004450|GO:0006099|GO:0016616|GO:0051287
CK_00000282,GO:0005975|GO:0016853
CK_00000283,GO:0006812|GO:0015297|GO:0016020|GO:0055085|GO:1902600
CK_00000285,GO:0003723|GO:0004525|GO:0006364|GO:0006396
CK_00000286,GO:0009767
CK_00000287,GO:0005840|GO:0006364|GO:0043022
CK_00000288,GO:0004360|GO:0097367|GO:1901135|GO:1901137
CK_00000289,GO:0009055|GO:0009522|GO:0009773|GO:0015979|GO:0042651|GO:0051539
CK_00000290,GO:0006633
CK_00000291,GO:0004802
CK_00000292,GO:0016787
CK_00000293,GO:0005515
CK_00000294,GO:0003677|GO:0005524|GO:0006281|GO:0006310|GO:0009378
CK_00000295,GO:0003723
CK_00000297,GO:0000166|GO:0003676|GO:0004812|GO:0004824|GO:0005524|GO:0006418|GO:0006430
CK_00000299,GO:0008360
CK_00000300,GO:0000902
CK_00000301,GO:0003697|GO:0006260
CK_00000304,GO:0002949
CK_00000305,GO:0016301
CK_00000306,GO:0006281|GO:0006284|GO:0008413
CK_00000307,GO:0006812|GO:0008324|GO:0015095|GO:0015693|GO:0016020
CK_00000308,GO:0004601|GO:0006979
CK_00000309,GO:0003677|GO:0003918|GO:0005524|GO:0005694|GO:0006265
CK_00000310,GO:0008033|GO:0052381
CK_00000311,GO:0003743|GO:0006413
CK_00000312,GO:0003700|GO:0006355
CK_00000313,GO:0005737|GO:0006535|GO:0009001|GO:0016740
CK_00000314,GO:0000906|GO:0009231|GO:0009349
CK_00000315,GO:0005524|GO:0006298|GO:0030983
CK_00000316,GO:0016747
CK_00000317,GO:0003677|GO:0005515|GO:0005524|GO:0006289|GO:0009380|GO:0016787|GO:0016887
CK_00000319,GO:0000166|GO:0005524|GO:0005737|GO:0008033|GO:0016879
CK_00000320,GO:0009236|GO:0016993
CK_00000321,GO:0003677|GO:0003887|GO:0006260|GO:0009360
CK_00000322,GO:0003723|GO:0046872
CK_00000323,GO:0008840|GO:0009089|GO:0016829
CK_00000324,GO:0004073|GO:0008652|GO:0009086|GO:0009088|GO:0009089|GO:0009097|GO:0016620|GO:0046983|GO:0050661|GO:0051287
CK_00000325,GO:0005524|GO:0006457|GO:0008270|GO:0016887|GO:0046983|GO:0051082|GO:0140662
CK_00000326,GO:0003887|GO:0005524|GO:0006260|GO:0009360
CK_00000328,GO:0030435
CK_00000329,GO:0003735|GO:0005840|GO:0006412
CK_00000330,GO:0003735|GO:0005840|GO:0006412|GO:0019843
CK_00000331,GO:0005515
CK_00000333,GO:0016757
CK_00000334,GO:0008658|GO:0009002|GO:0009252|GO:0016020
CK_00000336,GO:0003921|GO:0003922|GO:0005524|GO:0006164|GO:0006177
CK_00000337,GO:0008168|GO:0009236
CK_00000339,GO:0003676|GO:0004519|GO:0008270
CK_00000341,GO:0051287
CK_00000342,GO:0003989|GO:0006633|GO:0009317
CK_00000343,GO:0003746|GO:0005737|GO:0006414|GO:0043043
CK_00000344,GO:0000413|GO:0003755
CK_00000345,GO:0009030|GO:0009228
CK_00000346,GO:0005524|GO:0008763|GO:0009058|GO:0016881
CK_00000347,GO:0008762|GO:0050660|GO:0071949
CK_00000348,GO:0003677
CK_00000349,GO:0003924|GO:0005525
CK_00000350,GO:0005524|GO:0006457|GO:0009408|GO:0031072|GO:0051082
CK_00000351,GO:0000774|GO:0006457|GO:0042803|GO:0051087
CK_00000353,GO:0008033|GO:0017150|GO:0050660
CK_00000354,GO:0003824|GO:0004056|GO:0042450
CK_00000356,GO:0005525|GO:0006614
CK_00000357,GO:0003723|GO:0006353|GO:0006355
CK_00000359,GO:0008033|GO:0008616|GO:0016491
CK_00000360,GO:0005515
CK_00000361,GO:0004044|GO:0009113
CK_00000362,GO:0004642|GO:0006189
CK_00000364,GO:0003677|GO:0003887|GO:0006260|GO:0008408|GO:0009360
CK_00000366,GO:0005524|GO:0006281|GO:0006310
CK_00000367,GO:0003677|GO:0005524|GO:0006289|GO:0009380|GO:0016887
CK_00000368,GO:0005985|GO:0016157|GO:0016757
CK_00000369,GO:0000287|GO:0004644|GO:0005524|GO:0009152|GO:0016742|GO:0046872
CK_00000371,GO:0008963|GO:0016020|GO:0016780
CK_00000373,GO:0004055|GO:0005524|GO:0006526
CK_00000374,GO:0003735|GO:0005840|GO:0006412|GO:0019843
CK_00000376,GO:0004764|GO:0019632|GO:0050661
CK_00000380,GO:0003994|GO:0005829|GO:0006099|GO:0051539
CK_00000381,GO:0003849|GO:0009058|GO:0009073
CK_00000383,GO:0006799|GO:0008976|GO:0009358
CK_00000384,GO:0008168|GO:0019354
CK_00000385,GO:0003824
CK_00000386,GO:0009058
CK_00000388,GO:0003824|GO:0051536
CK_00000389,GO:0003883|GO:0006221
CK_00000390,GO:0000166|GO:0003676|GO:0004812|GO:0005524|GO:0006418|GO:0016874
CK_00000391,GO:0004047|GO:0005960|GO:0006546
CK_00000392,GO:0016813|GO:0046872
CK_00000393,GO:0005515
CK_00000394,GO:0003747|GO:0006415
CK_00000397,GO:0003700|GO:0006355
CK_00000401,GO:0000166|GO:0004812|GO:0004832|GO:0005524|GO:0005737|GO:0006418|GO:0006438
CK_00000406,GO:0002098
CK_00000407,GO:0003735|GO:0005840|GO:0006412
CK_00000409,GO:0005960|GO:0019464
CK_00000410,GO:0004375|GO:0006544
CK_00000411,GO:0009055|GO:0010181
CK_00000412,GO:0010181
CK_00000413,GO:0005524|GO:0140658
CK_00000414,GO:0000166|GO:0003676|GO:0004812|GO:0004813|GO:0005524|GO:0005737|GO:0006419|GO:0043039
CK_00000415,GO:0003824|GO:0006527|GO:0008295|GO:0008792
CK_00000417,GO:0016491|GO:0050660
CK_00000418,GO:0016874|GO:0016884
CK_00000420,GO:0004358|GO:0006526
CK_00000421,GO:0004672|GO:0005524|GO:0006468
CK_00000422,GO:0000015|GO:0000287|GO:0004634|GO:0006096
CK_00000423,GO:0004462|GO:0046872
CK_00000424,GO:0006605|GO:0006886|GO:0008320|GO:0009306|GO:0016020
CK_00000425,GO:0006354|GO:0032784|GO:0140673
CK_00000426,GO:0003735|GO:0005840|GO:0006412
CK_00000427,GO:0003723|GO:0003735|GO:0006412|GO:0015934
CK_00000428,GO:0003735|GO:0006412|GO:0015934
CK_00000429,GO:0003735|GO:0005840|GO:0006412
CK_00000430,GO:0003676|GO:0004523
CK_00000431,GO:0004152|GO:0005737|GO:0006207|GO:0016020|GO:0016627
CK_00000432,GO:0003824|GO:0009058|GO:0030170
CK_00000433,GO:0005975|GO:0016758|GO:0030259|GO:0050511
CK_00000435,GO:0005525
CK_00000436,GO:0003924|GO:0005525|GO:0006400
CK_00000437,GO:0004514|GO:0009435|GO:0016763
CK_00000438,GO:0000166|GO:0004812|GO:0004814|GO:0005524|GO:0005737|GO:0006418|GO:0006420
CK_00000439,GO:0003824|GO:0009058|GO:0030170
CK_00000442,GO:0008654|GO:0016020|GO:0016301
CK_00000443,GO:0004222|GO:0006364
CK_00000444,GO:0003747|GO:0005737|GO:0006415|GO:0016149
CK_00000445,GO:0045454
CK_00000446,GO:0004363|GO:0005524|GO:0006750|GO:0046872
CK_00000447,GO:0004659|GO:0016020|GO:0016765|GO:0042372
CK_00000449,GO:0016651|GO:0048038|GO:0051287
CK_00000450,GO:0000160|GO:0006355
CK_00000451,GO:0015995|GO:0046406
CK_00000452,GO:0006189
CK_00000454,GO:0000103|GO:0004020|GO:0005524
CK_00000455,GO:0004834|GO:0006568
CK_00000458,GO:0030170
CK_00000460,GO:0003861|GO:0009098|GO:0051539
CK_00000461,GO:0003861|GO:0009098|GO:0009316
CK_00000463,GO:0009523|GO:0015979|GO:0016020|GO:0042301|GO:0050821
CK_00000464,GO:0004045
CK_00000467,GO:0035556
CK_00000468,GO:0003677|GO:0003700|GO:0006355
CK_00000469,GO:0005524|GO:0008817|GO:0009236
CK_00000470,GO:0006229|GO:0008829
CK_00000472,GO:0000287|GO:0005975|GO:0008966|GO:0016868
CK_00000473,GO:0006400|GO:0008176
CK_00000475,GO:0000166|GO:0004812|GO:0004822|GO:0005524|GO:0006418|GO:0006428
CK_00000476,GO:0006450
CK_00000477,GO:0004070|GO:0006207|GO:0006520|GO:0016597|GO:0016743
CK_00000479,GO:0003824|GO:0004632|GO:0004633|GO:0010181|GO:0015937|GO:0015941
CK_00000480,GO:0009654|GO:0010207|GO:0010242|GO:0042549
CK_00000481,GO:0000103|GO:0004781
CK_00000482,GO:0004107|GO:0009073
CK_00000483,GO:0003824|GO:0051536
CK_00000485,GO:0030163
CK_00000486,GO:0008483|GO:0009058|GO:0030170
CK_00000487,GO:0003676|GO:0003723|GO:0004540|GO:0006396
CK_00000488,GO:0004523
CK_00000490,GO:0004664|GO:0009094
CK_00000491,GO:0008168|GO:0008757|GO:0032259
CK_00000493,GO:0003735|GO:0005840|GO:0006412
CK_00000494,GO:0003746|GO:0003924|GO:0005525|GO:0006414
CK_00000495,GO:0003746|GO:0003924|GO:0005525|GO:0006414
CK_00000496,GO:0003723|GO:0003735|GO:0006412|GO:0015935
CK_00000497,GO:0003735|GO:0005840|GO:0006412|GO:0015935
CK_00000500,GO:0008168|GO:0009236
CK_00000501,GO:0009522|GO:0009538|GO:0015979
CK_00000504,GO:0008800|GO:0017001|GO:0030655
CK_00000505,GO:0006522|GO:0008784
CK_00000506,GO:0003676|GO:0004519|GO:0008270
CK_00000507,GO:0003747|GO:0006415|GO:0016149
CK_00000508,GO:0003735|GO:0005840|GO:0006412
CK_00000509,GO:0003735|GO:0005840|GO:0006412
CK_00000510,GO:0003735|GO:0005840|GO:0006412
CK_00000511,GO:0001522|GO:0003723|GO:0009451|GO:0009982
CK_00000512,GO:0003735|GO:0005840|GO:0006412
CK_00000513,GO:0003677|GO:0003899|GO:0006351|GO:0046983
CK_00000514,GO:0003735|GO:0005840|GO:0006412
CK_00000515,GO:0003723|GO:0003735|GO:0005840|GO:0006412
CK_00000516,GO:0003735|GO:0005840|GO:0006412
CK_00000518,GO:0015031|GO:0016020
CK_00000519,GO:0003723|GO:0003735|GO:0005840|GO:0006412|GO:0015935
CK_00000520,GO:0003735|GO:0005840|GO:0006412
CK_00000521,GO:0003735|GO:0005840|GO:0006412|GO:0019843
CK_00000522,GO:0003735|GO:0005840|GO:0006412
CK_00000523,GO:0003735|GO:0005840|GO:0006412
CK_00000524,GO:0003735|GO:0005840|GO:0006412
CK_00000525,GO:0003735|GO:0005840|GO:0006412|GO:0015934
CK_00000526,GO:0003735|GO:0005840|GO:0006412
CK_00000527,GO:0003735|GO:0005840|GO:0006412|GO:0019843
CK_00000528,GO:0003723|GO:0003735|GO:0006412
CK_00000529,GO:0003735|GO:0005840|GO:0006412|GO:0015934
CK_00000530,GO:0003723|GO:0003735|GO:0005840|GO:0006412|GO:0015935
CK_00000531,GO:0003723|GO:0003735|GO:0005840|GO:0006412|GO:0015934|GO:0016740
CK_00000532,GO:0003735|GO:0005840|GO:0006412|GO:0019843
CK_00000533,GO:0003735|GO:0005840|GO:0006412
CK_00000534,GO:0003735|GO:0005840|GO:0006412
CK_00000535,GO:0016020|GO:0016655
CK_00000538,GO:0003677|GO:0003697|GO:0005524|GO:0006259|GO:0006281|GO:0008094|GO:0140664
CK_00000540,GO:0003676|GO:0004386|GO:0005524|GO:0006139|GO:0016818
CK_00000541,GO:0004665|GO:0006571|GO:0008977|GO:0070403
CK_00000542,GO:0016491
CK_00000545,GO:0004190|GO:0006508
CK_00000546,GO:0005524|GO:0008817|GO:0009236
CK_00000547,GO:0004066|GO:0006529|GO:0016783
CK_00000548,GO:0004014|GO:0008295
CK_00000549,GO:0003697|GO:0005524|GO:0006281
CK_00000550,GO:0016747
CK_00000551,GO:0006099|GO:0008964|GO:0015977
CK_00000552,GO:0004357|GO:0042398
CK_00000553,GO:0009058
CK_00000554,GO:0009522|GO:0009538|GO:0015979
CK_00000555,GO:0000155|GO:0007165
CK_00000556,GO:0008360|GO:0016020|GO:0051301
CK_00000557,GO:0005524
CK_00000558,GO:0004109|GO:0006779
CK_00000560,GO:0003676|GO:0006139|GO:0008408
CK_00000563,GO:0004641|GO:0006189
CK_00000564,GO:0004127|GO:0004592|GO:0005524|GO:0006139|GO:0015940
CK_00000566,GO:0005975|GO:0016301
CK_00000567,GO:0004478|GO:0005524|GO:0006556
CK_00000568,GO:0003676
CK_00000569,GO:0008270|GO:0045892
CK_00000570,GO:0009521|GO:0009523|GO:0009767|GO:0009772|GO:0015979|GO:0016020|GO:0016168|GO:0019684|GO:0045156
CK_00000571,GO:0051536
CK_00000572,GO:0016787
CK_00000573,GO:0003676|GO:0006479|GO:0008168|GO:0008276|GO:0032259
CK_00000574,GO:0003725
CK_00000575,GO:0032955|GO:0051301
CK_00000576,GO:0016887
CK_00000577,GO:0000902
CK_00000579,GO:0009055|GO:0016020|GO:0016491
CK_00000580,GO:0009055|GO:0009767|GO:0016020|GO:0016491|GO:0042651|GO:0045156
CK_00000581,GO:0033926
CK_00000582,GO:0003677|GO:0003684|GO:0003906|GO:0006281|GO:0006284|GO:0008270|GO:0008534|GO:0016799|GO:0019104
CK_00000584,GO:0003855
CK_00000585,GO:0006400|GO:0045301
CK_00000586,GO:0004519|GO:0005524|GO:0006298|GO:0016887|GO:0030983|GO:0045910
CK_00000587,GO:0000287|GO:0003924|GO:0005525
CK_00000588,GO:0016788
CK_00000589,GO:0016301
CK_00000590,GO:0008168
CK_00000591,GO:0046854
CK_00000592,GO:0003676|GO:0003723|GO:0004654|GO:0006396|GO:0006402
CK_00000593,GO:0003735|GO:0005840|GO:0006412
CK_00000594,GO:0004222|GO:0005515|GO:0006508|GO:0016020
CK_00000595,GO:0000166|GO:0004812|GO:0004828|GO:0005524|GO:0006418|GO:0006434
CK_00000596,GO:0005524|GO:0016887
CK_00000599,GO:0000049|GO:0004526|GO:0008033
CK_00000601,GO:0006508|GO:0008233
CK_00000602,GO:0016020
CK_00000604,GO:0004077|GO:0036211
CK_00000606,GO:0008137|GO:0042773
CK_00000607,GO:0003677|GO:0003916|GO:0003917|GO:0006265
CK_00000609,GO:0008939
CK_00000613,GO:0004129|GO:0016020
CK_00000614,GO:0004129|GO:0005507|GO:0016020|GO:0016491|GO:0022900
CK_00000615,GO:0006784|GO:0016020|GO:0016653
CK_00000616,GO:0006783|GO:0008495|GO:0016020|GO:0016765
CK_00000617,GO:0006813|GO:0008324
CK_00000618,GO:0003824|GO:0008299|GO:0050518|GO:0070567
CK_00000619,GO:0016020|GO:0016765
CK_00000621,GO:0008168|GO:0009236|GO:0046026
CK_00000622,GO:0005886|GO:0008961|GO:0042158
CK_00000623,GO:0005506|GO:0009055|GO:0015979|GO:0020037|GO:0042651
CK_00000624,GO:0016020
CK_00000626,GO:0009522|GO:0009538|GO:0015979
CK_00000627,GO:0002949
CK_00000628,GO:0006812|GO:0015297|GO:0016020|GO:0055085|GO:1902600
CK_00000629,GO:0000166|GO:0004812|GO:0004818|GO:0005524|GO:0006418|GO:0006424|GO:0043039
CK_00000631,GO:0003735|GO:0005840|GO:0006412
CK_00000632,GO:0006508|GO:0070006
CK_00000635,GO:0009294
CK_00000639,GO:0016020|GO:0055085
CK_00000641,GO:0004181|GO:0006508
CK_00000642,GO:0000287|GO:0004427|GO:0005737|GO:0006796
CK_00000643,GO:0004418|GO:0018160|GO:0033014
CK_00000644,GO:0003676|GO:0003677|GO:0003678|GO:0005524|GO:0006260|GO:0032508
CK_00000645,GO:0005737
CK_00000647,GO:0003697
CK_00000648,GO:0009236|GO:0016994
CK_00000649,GO:0016301
CK_00000650,GO:0000166|GO:0004019|GO:0005525|GO:0006164
CK_00000651,GO:0009523|GO:0010206|GO:0010207
CK_00000652,GO:0000166|GO:0002161|GO:0004812|GO:0004827|GO:0005524|GO:0005737|GO:0006418|GO:0006433
CK_00000654,GO:0000287|GO:0004427|GO:0005737|GO:0006796
CK_00000655,GO:0004252|GO:0006465|GO:0006508|GO:0008236|GO:0016020
CK_00000656,GO:0016787|GO:0016812
CK_00000657,GO:0003824
CK_00000658,GO:0004222|GO:0016020|GO:0071586
CK_00000659,GO:0008658
CK_00000660,GO:0004801|GO:0005509|GO:0005737|GO:0005975|GO:0006098
CK_00000661,GO:0006412
CK_00000662,GO:0005737|GO:0006221|GO:0033862
CK_00000663,GO:0005524|GO:0008817|GO:0009236
CK_00000664,GO:0004325|GO:0006783
CK_00000667,GO:0003676
CK_00000669,GO:0016491
CK_00000670,GO:0003989|GO:0006633|GO:0009317|GO:0016743|GO:0016874
CK_00000671,GO:0016491
CK_00000672,GO:0004640|GO:0006568
CK_00000673,GO:0006508
CK_00000674,GO:0036211
CK_00000675,GO:0016630
CK_00000676,GO:0005524|GO:0015995|GO:0016491|GO:0016730|GO:0019685
CK_00000677,GO:0015979|GO:0015995|GO:0016491|GO:0016730|GO:0019685
CK_00000678,GO:0015995|GO:0016491|GO:0016730|GO:0019685
CK_00000680,GO:0031469
CK_00000681,GO:0000287|GO:0015977|GO:0016984
CK_00000683,GO:0043886
CK_00000685,GO:0031469
CK_00000686,GO:0031469
CK_00000687,GO:0051536|GO:0051537
CK_00000688,GO:0003824|GO:0009236
CK_00000689,GO:0003723|GO:0003735|GO:0006412|GO:0015935|GO:0019843
CK_00000691,GO:0005524|GO:0005737|GO:0008360|GO:0009058|GO:0016881|GO:0051301
CK_00000693,GO:0005506|GO:0016226|GO:0051536
CK_00000694,GO:0003924|GO:0005525
CK_00000695,GO:0016020|GO:0055085
CK_00000696,GO:0003723|GO:0006396|GO:0008173|GO:0141100
CK_00000697,GO:0003723|GO:0006355|GO:0006364|GO:0008168|GO:0008649
CK_00000698,GO:0015995|GO:0016020|GO:0016765|GO:0046408
CK_00000699,GO:0000166|GO:0004820|GO:0005524|GO:0005737|GO:0006426
CK_00000700,GO:0009236|GO:0016020|GO:0048472
CK_00000701,GO:0004455|GO:0009082|GO:0016491
CK_00000703,GO:0003824|GO:0004109|GO:0005737|GO:0006779|GO:0051536|GO:0051539
CK_00000704,GO:0003864|GO:0015940
CK_00000705,GO:0003924|GO:0005525
CK_00000707,GO:0005524|GO:0005737|GO:0008716|GO:0046872
CK_00000708,GO:0003824|GO:0006400|GO:0016740|GO:0035596|GO:0051536|GO:0051539
CK_00000709,GO:0050660|GO:0071949
CK_00000711,GO:0004326|GO:0005524|GO:0009058|GO:0009396|GO:0016881
CK_00000712,GO:0006525|GO:0008483|GO:0030170
CK_00000714,GO:0003723|GO:0006396|GO:0008173
CK_00000715,GO:0004425|GO:0006568
CK_00000716,GO:0003755
CK_00000717,GO:0016020|GO:0016410|GO:0042158
CK_00000718,GO:0008033|GO:0016740
CK_00000719,GO:0003924|GO:0005525|GO:0006614|GO:0008312|GO:0048500
CK_00000720,GO:0003735|GO:0005840|GO:0006412
CK_00000721,GO:0005524
CK_00000724,GO:0003723|GO:0005525
CK_00000726,GO:0006189|GO:0016787
CK_00000727,GO:0004789|GO:0009228
CK_00000728,GO:0003919|GO:0008531|GO:0009231
CK_00000730,GO:0016787
CK_00000731,GO:0000049|GO:0000166|GO:0004812|GO:0004826|GO:0005524|GO:0005737|GO:0006432|GO:0043039
CK_00000732,GO:0003951|GO:0006741
CK_00000733,GO:0008168|GO:0008276|GO:0009236
